
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1,Paul Pressey,27,80,80,2704,7.1,14.7,.488,0.1,0.8,.182,7.0,13.9,.504,5.5,6.8,.806,2.2,4.7,6.9,10.8,2.9,1.2,4.2,4.3,19.9,,114,101
2,Terry Cummings,24,82,82,2669,12.0,25.3,.474,0.0,0.0,.000,12.0,25.3,.474,4.7,7.1,.656,3.9,8.3,12.2,3.4,2.1,0.9,3.4,5.0,28.7,,105,101
3,Sidney Moncrief,28,73,72,2567,8.6,17.6,.489,0.6,1.9,.320,8.0,15.7,.509,9.1,10.6,.859,2.1,4.0,6.1,6.5,1.9,0.3,3.2,3.3,26.9,,123,105
4,Ricky Pierce,26,81,8,2147,9.4,17.5,.538,0.1,0.5,.130,9.3,17.0,.550,5.8,6.8,.858,2.1,3.0,5.1,3.9,1.8,0.1,2.3,5.5,24.7,,122,106
5,Alton Lister,27,81,19,1812,8.3,15.0,.551,0.0,0.1,.000,8.3,14.9,.553,4.2,6.9,.602,5.2,10.2,15.4,2.6,1.3,3.7,4.2,7.8,20.7,,106,98
6,Randy Breuer,25,82,63,1792,7.1,15.0,.477,0.0,0.0,.000,7.1,14.9,.478,3.7,5.2,.712,4.2,7.8,12.0,3.0,1.3,3.0,3.2,5.6,18.0,,105,101
7,Craig Hodges,25,66,66,1739,7.7,15.4,.500,2.0,4.4,.451,5.7,11.0,.520,2.0,2.3,.872,1.1,2.1,3.2,6.2,2.0,0.1,2.4,4.2,19.4,,118,106
8,Kenny Fields,23,78,3,1120,8.6,16.7,.513,0.0,0.2,.000,8.6,16.5,.518,3.8,5.5,.689,2.5,6.0,8.5,3.3,2.1,0.6,3.2,7.1,20.9,,106,102
9,Charles Davis,27,57,7,873,10.1,21.4,.474,0.2,1.3,.125,10.0,20.1,.496,3.3,4.0,.813,3.2,5.9,9.2,3.0,1.4,0.4,2.7,6.1,23.7,,106,104
10,Jeff Lamp,26,44,1,701,7.3,16.3,.449,0.2,0.9,.231,7.1,15.4,.461,3.7,4.3,.859,2.3,5.8,8.1,4.3,1.3,0.2,2.0,5.9,18.5,,111,104
11,Mike Glenn,30,38,1,573,7.7,15.6,.495,0.0,0.0,,7.7,15.6,.495,3.9,4.0,.959,0.3,4.3,4.7,3.2,0.7,0.2,1.5,3.4,19.3,,116,107
12,Paul Mokeski,29,45,0,521,5.3,12.5,.424,0.0,0.0,,5.3,12.5,.424,2.3,3.1,.735,3.2,9.3,12.5,2.7,0.5,0.5,2.3,8.3,12.9,,100,103
13,Jerry Reynolds,23,55,8,508,6.7,15.0,.444,0.1,0.2,.500,6.6,14.8,.444,5.4,9.6,.558,3.4,4.0,7.4,8.0,4.0,1.8,4.8,5.3,18.8,,99,99
14,Earl Jones,25,12,0,43,5.5,13.1,.417,0.0,0.0,,5.5,13.1,.417,3.3,4.4,.750,4.4,6.6,10.9,4.4,0.0,1.1,7.7,14.2,14.2,,80,105
15,Bryan Warrick,26,5,0,27,7.0,17.4,.400,1.7,3.5,.500,5.2,13.9,.375,1.7,1.7,1.000,0.0,5.2,5.2,10.4,3.5,0.0,8.7,5.2,17.4,,81,101
16,Derrick Rowland,26,2,0,9,5.2,15.7,.333,0.0,0.0,,5.2,15.7,.333,5.2,10.4,.500,0.0,5.2,5.2,5.2,0.0,0.0,0.0,5.2,15.7,,99,108
