
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Vin Baker,22,82,63,2560,435,869,.501,1,5,.200,434,864,.502,.501,234,411,.569,277,344,621,163,60,114,162,231,1105
2,Ken Norman,29,82,75,2539,412,919,.448,63,189,.333,349,730,.478,.483,92,183,.503,169,331,500,222,58,46,150,209,979
3,Eric Murdock,25,82,76,2533,477,1019,.468,69,168,.411,408,851,.479,.502,234,288,.813,91,170,261,546,197,12,206,189,1257
4,Blue Edwards,28,82,64,2322,382,800,.478,38,106,.358,344,694,.496,.501,151,189,.799,104,225,329,171,83,27,146,235,953
5,Todd Day,24,76,39,2127,351,845,.415,33,148,.223,318,697,.456,.435,231,331,.698,115,195,310,138,103,52,129,221,966
6,Lee Mayberry,23,82,6,1472,167,402,.415,41,119,.345,126,283,.445,.466,58,84,.690,26,75,101,215,46,4,97,114,433
7,Frank Brickowski,34,43,40,1441,251,521,.482,3,18,.167,248,503,.493,.485,148,191,.775,53,226,279,165,52,16,125,165,653
8,Jon Barry,24,72,7,1242,158,382,.414,32,115,.278,126,267,.472,.455,97,122,.795,36,110,146,168,102,17,83,110,445
9,Derek Strong,25,67,11,1131,141,341,.413,3,13,.231,138,328,.421,.418,159,206,.772,109,172,281,48,38,14,61,69,444
10,Brad Lohaus,29,67,2,962,102,281,.363,46,134,.343,56,147,.381,.445,20,29,.690,33,117,150,62,30,55,58,142,270
11,Anthony Avent,24,33,20,695,92,228,.404,0,0,,92,228,.404,.404,61,79,.772,60,94,154,33,16,20,43,60,245
12,Danny Schayes,34,23,6,230,14,46,.304,0,0,,14,46,.304,.304,21,22,.955,16,29,45,5,5,8,14,27,49
13,Anthony Cook,26,23,0,201,26,53,.491,0,1,.000,26,52,.500,.491,10,25,.400,20,36,56,4,3,12,11,22,62
14,Joe Courtney,24,19,0,177,27,70,.386,2,3,.667,25,67,.373,.400,9,15,.600,14,15,29,6,7,6,11,21,65
15,Mike Gminski,34,8,1,54,5,24,.208,0,0,,5,24,.208,.208,3,4,.750,3,12,15,0,0,3,2,3,13
16,Greg Foster,25,3,0,19,4,7,.571,0,0,,4,7,.571,.571,2,2,1.000,0,3,3,0,0,1,1,3,10
,Team Totals,,82,,19705,3044,6807,.447,331,1019,.325,2713,5788,.469,.471,1530,2181,.702,1126,2154,3280,1946,800,407,1343,1821,7949
