
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Ray Allen,23,50,50,34.4,6.1,13.5,.450,1.5,4.2,.356,4.6,9.3,.492,.505,3.5,3.9,.903,1.1,3.1,4.2,3.6,1.1,0.1,2.4,2.3,17.1
2,Terrell Brandon,28,15,14,33.7,5.7,13.9,.409,0.5,1.9,.250,5.2,12.0,.433,.425,1.7,2.1,.839,0.7,2.8,3.5,6.9,1.6,0.2,2.4,1.7,13.5
3,Glenn Robinson,26,47,47,33.6,7.4,16.1,.459,0.7,1.7,.392,6.7,14.4,.467,.479,3.0,3.4,.870,1.6,4.3,5.9,2.1,1.0,0.9,2.3,2.4,18.4
4,Tyrone Hill,30,17,17,30.4,2.9,6.9,.424,0.0,0.0,,2.9,6.9,.424,.424,2.7,4.8,.568,3.0,4.9,7.9,1.0,1.1,0.5,1.4,4.0,8.6
5,Haywoode Workman,33,29,29,28.1,2.5,5.9,.429,0.6,1.6,.362,1.9,4.2,.455,.479,1.3,1.6,.787,0.5,3.0,3.5,5.9,1.1,0.0,2.2,1.8,6.9
6,Sam Cassell,29,4,0,24.8,4.5,11.0,.409,0.3,0.8,.333,4.3,10.3,.415,.420,4.5,4.8,.947,1.0,1.3,2.3,4.3,1.5,0.0,2.0,2.3,13.8
7,Michael Curry,30,50,4,22.9,1.8,4.1,.437,0.0,0.3,.067,1.8,3.8,.466,.439,1.3,1.6,.797,0.4,1.8,2.2,1.6,0.8,0.1,0.7,2.7,4.9
8,Vinny Del Negro,32,48,7,22.8,2.4,5.6,.422,0.3,0.6,.433,2.1,5.0,.421,.446,0.8,1.0,.800,0.3,1.8,2.1,3.6,0.7,0.1,1.1,1.3,5.9
9,Dell Curry,34,42,0,20.6,3.9,8.0,.485,1.6,3.5,.476,2.2,4.5,.492,.588,0.7,0.8,.824,0.4,1.6,2.0,1.1,0.9,0.1,1.1,1.0,10.1
10,Ervin Johnson,31,50,7,20.5,1.9,3.8,.508,0.0,0.0,,1.9,3.8,.508,.508,1.3,2.1,.610,2.4,4.0,6.4,0.4,0.6,1.1,0.9,3.0,5.1
11,Armen Gilliam,34,34,5,19.6,3.0,6.6,.453,0.0,0.0,.000,3.0,6.5,.455,.453,2.3,3.0,.782,1.0,2.7,3.7,0.6,0.6,0.4,1.1,1.4,8.3
12,Tim Thomas,21,33,26,18.9,3.2,6.4,.495,0.5,1.5,.327,2.7,4.9,.546,.533,1.6,2.7,.614,1.3,1.5,2.8,0.9,0.7,0.3,0.9,2.6,8.5
13,Chris Gatling,31,30,1,16.5,2.7,5.6,.482,0.0,0.2,.143,2.7,5.4,.497,.485,0.8,2.3,.362,1.0,2.8,3.8,0.7,0.8,0.2,1.1,2.6,6.3
14,Robert Traylor,21,49,43,16.0,2.2,4.1,.537,0.0,0.0,.000,2.2,4.1,.540,.537,0.9,1.6,.538,1.6,2.1,3.7,0.8,0.9,0.9,0.9,2.9,5.3
15,Elliot Perry,29,5,0,9.4,1.8,3.4,.529,0.2,0.2,1.000,1.6,3.2,.500,.559,0.2,0.4,.500,0.2,1.4,1.6,2.4,0.8,0.0,0.4,0.6,4.0
16,Scott Williams,30,5,0,5.8,1.0,3.0,.333,0.0,0.0,,1.0,3.0,.333,.333,0.8,1.4,.571,0.4,2.0,2.4,0.0,0.2,0.2,0.4,1.0,2.8
17,Adonis Jordan,28,4,0,4.5,0.5,1.0,.500,0.0,0.5,.000,0.5,0.5,1.000,.500,0.5,1.0,.500,0.0,0.0,0.0,0.8,0.8,0.0,0.5,0.0,1.5
18,Jerald Honeycutt,24,3,0,4.0,0.7,1.7,.400,0.0,1.0,.000,0.7,0.7,1.000,.400,0.3,0.7,.500,0.0,0.3,0.3,0.0,0.3,0.0,0.3,2.0,1.7
19,Paul Grant,25,2,0,2.5,0.5,1.0,.500,0.0,0.0,,0.5,1.0,.500,.500,0.0,0.0,,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,1.0
20,Jamie Feick,24,2,0,1.5,0.0,0.5,.000,0.0,0.0,,0.0,0.5,.000,.000,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
