
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
34,Ray Allen,SG,6-5,205,July 20 1975,3,University of Connecticut
11,Rafer Alston,PG,6-2,171,July 24 1976,R,California State University Fresno
10,Sam Cassell,PG,6-3,185,November 18 1969,6,Florida State University
15,Vinny Del Negro,PG,6-4,185,August 9 1966,9,North Carolina State University
9,Dale Ellis,SG,6-7,205,August 6 1960,16,University of Tennessee
21,Darvin Ham,SF,6-7,220,July 23 1973,2,Texas Tech University
40,Ervin Johnson,C,6-11,245,December 21 1967,6,University of New Orleans
25,Danny Manning,PF,6-10,230,May 17 1966,11,University of Kansas
7,J.R. Reid,PF,6-9,247,March 31 1968,9,University of North Carolina
13,Glenn Robinson,SF,6-7,225,January 10 1973,5,Purdue University
5,Tim Thomas,SF,6-10,230,February 26 1977,2,Villanova University
54,Robert Traylor,PF,6-8,284,February 1 1977,1,University of Michigan
6,Mirsad Turkcan,PF,6-9,236,June 7 1976,R,
42,Scott Williams,C,6-10,230,March 21 1968,9,University of North Carolina
3,Haywoode Workman,PG,6-2,180,January 23 1966,7,Oral Roberts University
