
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
1,Adrian Branch,SF,6-7,185,November 17 1963,3,University of Maryland
45,Randy Breuer,C,7-3,230,October 11 1960,6,University of Minnesota
19,Tony Campbell,SG,6-7,215,May 7 1962,5,Ohio State University
23,Tyrone Corbin,SF,6-6,210,December 31 1962,4,DePaul University
33,Steve Johnson,C,6-10,235,November 3 1957,8,Oregon State University
52,Gary Leonard,C,7-1,250,February 16 1967,R,University of Missouri
54,Brad Lohaus,PF,6-11,230,September 29 1964,2,University of Iowa
35,Sidney Lowe,PG,6-0,195,January 21 1960,3,North Carolina State University
42,Sam Mitchell,PF,6-6,210,September 2 1963,R,Mercer University
4,Tod Murphy,C,6-9,220,December 24 1963,1,University of California Irvine
24,Pooh Richardson,PG,6-1,180,May 14 1966,R,University of California Los Angeles
3,Scott Roth,SF,6-8,212,June 3 1963,2,University of Wisconsin
15,Donald Royal,SF,6-8,210,May 22 1966,R,University of Notre Dame
2,Brad Sellers,PF,7-0,210,December 17 1962,3,Ohio State University
5,Doug West,SG,6-6,200,May 27 1967,R,Villanova University
