
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
41,Thurl Bailey,PF,6-11,215,April 7 1961,10,North Carolina State University
40,Mike Brown,C,6-9,257,July 19 1963,7,George Washington University
23,Brian Davis,SF,6-7,200,June 21 1970,R,Duke University
30,Tellis Frank,PF,6-10,225,April 26 1965,4,Western Kentucky University
51,Andres Guibert,C,6-10,225,October 28 1968,R,
7,Stanley Jackson,SG,6-3,185,October 10 1970,R,University of Alabama at Birmingham
21,Stacey King,C,6-11,230,January 29 1967,4,University of Oklahoma
32,Christian Laettner,PF,6-11,235,August 17 1969,1,Duke University
,Luc Longley,C,7-2,265,January 19 1969,2,University of New Mexico
25,Marlon Maxey,PF,6-8,250,February 19 1969,1,University of Texas at El Paso
45,Chuck Person,SF,6-8,220,June 27 1964,7,Auburn University
34,Isaiah Rider,SG,6-5,215,March 12 1971,R,University of Nevada Las Vegas
3,Chris Smith,PG,6-3,190,May 17 1970,1,University of Connecticut
5,Doug West,SG,6-6,200,May 27 1967,4,Villanova University
12,Corey Williams,PG,6-2,190,April 24 1970,1,Oklahoma State University
4,Micheal Williams,PG,6-2,175,July 23 1966,5,Baylor University
