
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Tom Gugliotta,27,81,81,3131,592,1339,.442,24,93,.258,568,1246,.456,.451,464,566,.820,187,515,702,335,130,89,293,237,1672
2,Kevin Garnett,20,77,77,2995,549,1100,.499,6,21,.286,543,1079,.503,.502,205,272,.754,190,428,618,236,105,163,175,199,1309
3,Stephon Marbury,19,67,64,2324,355,871,.408,102,288,.354,253,583,.434,.466,245,337,.727,54,130,184,522,67,19,210,159,1057
4,Sam Mitchell,33,82,5,2044,269,603,.446,4,25,.160,265,578,.458,.449,224,295,.759,112,214,326,79,51,20,93,232,766
5,Doug West,29,68,66,1920,226,484,.467,15,45,.333,211,439,.481,.482,64,94,.681,37,111,148,113,61,24,66,218,531
6,Dean Garrett,30,68,47,1665,223,389,.573,0,0,,223,389,.573,.573,96,138,.696,149,346,495,38,40,95,34,158,542
7,Terry Porter,33,82,20,1568,187,449,.416,67,200,.335,120,249,.482,.491,127,166,.765,31,145,176,295,54,11,128,104,568
8,James Robinson,26,69,5,1309,196,482,.407,102,267,.382,94,215,.437,.512,78,114,.684,24,88,112,126,30,8,69,125,572
9,Cherokee Parks,24,76,0,961,103,202,.510,0,1,.000,103,201,.512,.510,46,76,.605,83,112,195,34,41,48,32,150,252
10,Chris Carr,22,55,10,830,125,271,.461,31,88,.352,94,183,.514,.518,56,73,.767,31,82,113,48,24,10,37,93,337
11,Stojko Vrankovic,33,53,35,766,78,139,.561,0,0,,78,139,.561,.561,25,37,.676,57,111,168,14,10,67,52,121,181
12,Shane Heal,26,43,0,236,26,97,.268,20,65,.308,6,32,.188,.371,3,5,.600,2,16,18,33,3,3,17,20,75
13,Reggie Jordan,29,10,0,31,8,10,.800,0,0,,8,10,.800,.800,4,7,.571,0,4,4,1,2,0,2,2,20
,Team Totals,,82,,19780,2937,6436,.456,371,1093,.339,2566,5343,.480,.485,1637,2180,.751,957,2302,3259,1874,618,557,1243,1818,7882
