
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1,Kevin Garnett,23,81,81,3243,12.2,24.6,.497,0.5,1.3,.370,11.8,23.3,.504,5.0,6.5,.765,3.6,11.8,15.4,6.5,1.9,2.0,4.3,3.3,29.9,,107,99
2,Terrell Brandon,29,71,71,2587,9.8,21.1,.466,1.1,2.7,.402,8.8,18.4,.476,3.8,4.2,.899,0.9,3.9,4.8,12.7,2.7,0.6,3.7,3.2,24.5,,111,104
3,Malik Sealy,29,82,61,2392,8.1,17.1,.476,0.2,0.8,.286,7.9,16.3,.485,3.9,4.8,.812,2.6,5.1,7.7,4.3,1.7,0.4,2.4,4.3,20.3,,108,105
4,Wally Szczerbiak,22,73,53,2171,8.2,16.1,.511,0.7,1.9,.359,7.6,14.2,.531,3.2,3.9,.826,2.1,4.4,6.6,4.8,1.4,0.6,2.0,4.2,20.4,,116,106
5,Anthony Peeler,30,82,22,2073,8.0,18.3,.436,2.1,6.4,.333,5.8,11.9,.491,2.2,2.8,.798,1.5,4.4,5.9,4.9,1.6,0.3,2.1,4.3,20.3,,106,106
6,Joe Smith,24,78,9,1975,7.7,16.5,.464,0.0,0.0,1.000,7.6,16.5,.463,5.2,6.8,.756,4.9,7.9,12.8,2.3,1.2,2.3,3.2,8.0,20.5,,105,102
7,Rasho Nesterovic,23,82,55,1723,6.3,13.1,.476,0.0,0.1,.000,6.3,13.1,.478,1.8,3.1,.573,4.1,7.4,11.5,2.8,0.6,2.6,2.2,8.0,14.3,,102,103
8,Sam Mitchell,36,66,24,1227,7.2,16.0,.447,0.4,1.0,.435,6.7,15.0,.448,3.5,3.9,.880,1.2,4.7,5.9,4.7,1.2,0.6,1.9,4.9,18.2,,107,106
9,Bobby Jackson,26,73,10,1034,7.1,17.5,.405,0.7,2.3,.283,6.4,15.2,.423,3.8,5.0,.776,2.5,5.2,7.7,8.7,2.4,0.4,2.9,5.8,18.7,,104,104
10,Dean Garrett,33,56,23,604,4.2,9.4,.444,0.0,0.0,,4.2,9.4,.444,1.6,2.3,.692,3.6,8.6,12.1,1.6,0.7,3.5,1.8,8.1,9.9,,100,102
11,William Avery,20,59,1,484,6.1,19.6,.309,1.9,6.8,.286,4.1,12.8,.322,2.6,3.9,.667,0.9,3.5,4.3,9.5,1.5,0.2,4.5,6.5,16.6,,84,107
12,Tom Hammonds,32,56,0,372,5.9,13.6,.433,0.0,0.0,,5.9,13.6,.433,4.6,7.9,.589,4.8,9.4,14.2,1.4,1.1,0.4,3.0,7.7,16.5,,97,103
13,Andrae Patterson,24,5,0,20,7.8,10.5,.750,0.0,0.0,,7.8,10.5,.750,0.0,0.0,,2.6,2.6,5.2,2.6,2.6,0.0,2.6,10.5,15.7,,120,105
