
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
2,James Bailey,PF,6-9,220,May 21 1957,7,Rutgers University
10,Otis Birdsong,SG,6-3,190,December 9 1955,9,University of Houston
35,Tony Brown,SG,6-6,185,July 29 1960,2,University of Arkansas
40,Ben Coleman,C,6-9,235,November 14 1961,R,University of Maryland
53,Darryl Dawkins,C,6-11,251,January 11 1957,11,
50,Chris Engler,C,6-11,245,March 1 1959,3,University of Wyoming
42,Mike Gminski,C,6-11,250,August 3 1959,6,Duke University
55,Albert King,SF,6-6,190,December 17 1959,5,University of Maryland
20,Pace Mannion,SF,6-7,190,September 22 1960,3,University of Utah
12,Kevin McKenna,SG,6-5,195,January 8 1959,4,Creighton University
30,Jeff Turner,PF,6-9,230,April 9 1962,2,Vanderbilt University
1,Pearl Washington,PG,6-2,190,January 6 1964,R,Syracuse University
52,Buck Williams,PF,6-8,215,March 8 1960,5,University of Maryland
13,Ray Williams,PG,6-3,188,October 14 1954,9,University of Minnesota
22,Michael Wilson,SG,6-4,175,September 15 1959,2,Marquette University
33,Leon Wood,PG,6-3,185,March 25 1962,2,California State University Fullerton
0,Orlando Woolridge,SF,6-9,215,December 16 1959,5,University of Notre Dame
