
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1,Roy Hinson,27,82,39,2542,9.3,19.4,.482,0.0,0.0,.000,9.3,19.3,.483,6.0,7.9,.757,2.9,7.0,9.8,1.3,0.6,2.3,3.1,5.6,24.7,,107,110
2,Lester Conner,29,82,63,2532,5.9,12.8,.457,0.2,0.7,.351,5.6,12.1,.463,4.0,5.1,.788,1.9,4.8,6.7,11.4,3.4,0.1,3.4,2.5,16.0,,112,108
3,Buck Williams,28,74,72,2446,7.3,13.8,.531,0.0,0.1,.000,7.3,13.7,.534,4.2,6.3,.666,4.9,8.8,13.6,1.5,1.2,0.7,2.8,4.4,18.8,,112,109
4,Chris Morris,23,76,48,2096,9.5,20.7,.457,1.5,4.0,.366,8.0,16.7,.479,4.2,5.8,.717,4.3,4.8,9.1,2.7,2.3,1.4,4.3,5.7,24.6,,102,109
5,Mike McGee,29,80,49,2027,10.3,21.7,.473,2.2,6.0,.365,8.1,15.7,.515,1.8,3.4,.535,1.7,2.7,4.5,2.7,1.9,0.3,2.9,4.4,24.6,,104,112
6,Joe Barry Carroll,30,64,62,1996,8.7,19.5,.448,0.0,0.0,,8.7,19.5,.448,4.2,5.3,.800,2.8,8.5,11.4,2.5,1.7,1.9,3.4,4.6,21.7,,99,107
7,John Bagley,28,68,20,1642,5.8,14.0,.416,0.3,1.6,.204,5.5,12.5,.443,2.6,3.6,.724,1.1,3.2,4.2,11.4,2.1,0.1,4.6,3.4,14.6,,96,111
8,Dennis Hopson,23,62,36,1551,9.2,22.1,.419,0.1,0.8,.148,9.1,21.2,.429,5.8,6.8,.849,2.8,3.4,6.2,3.2,2.2,0.9,3.2,4.6,24.4,,102,110
9,Keith Lee,26,57,4,840,6.2,14.7,.422,0.0,0.1,.000,6.2,14.6,.426,3.0,4.1,.746,4.2,10.6,14.8,2.4,1.1,1.9,3.0,7.9,15.5,,97,107
10,Walter Berry,24,29,17,556,9.3,19.9,.468,0.0,0.0,,9.3,19.9,.468,3.7,5.4,.683,2.8,7.2,9.9,1.7,0.9,1.1,3.5,6.0,22.3,,98,110
11,Charles Shackleford,22,60,0,484,8.2,16.6,.494,0.0,0.1,.000,8.2,16.5,.497,2.1,4.2,.500,5.0,10.2,15.2,2.1,1.5,1.8,2.7,7.0,18.5,,103,107
12,Kevin Williams,27,41,0,433,7.4,18.6,.399,0.1,0.7,.167,7.3,17.9,.407,4.4,5.6,.784,2.1,3.4,5.5,4.0,2.8,0.9,4.7,8.2,19.4,,90,109
13,Corey Gaines,23,32,0,337,3.8,9.1,.422,0.1,0.7,.200,3.7,8.4,.441,1.7,2.3,.750,0.4,2.3,2.7,9.5,2.1,0.1,2.8,3.8,9.5,,101,112
14,Bill Jones,22,37,0,307,7.8,15.9,.490,0.0,0.2,.000,7.8,15.8,.495,4.5,6.7,.674,3.1,4.2,7.3,3.1,2.7,0.9,2.8,5.9,20.2,,107,109
15,Ron Cavenall,29,5,0,16,6.0,9.0,.667,0.0,0.0,,6.0,9.0,.667,6.0,15.0,.400,0.0,6.0,6.0,0.0,0.0,6.0,6.0,6.0,18.0,,79,108
