
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
10,Mookie Blaylock,PG,6-0,180,March 20 1967,R,University of Oklahoma
31,Sam Bowie,C,7-1,235,March 17 1961,4,University of Kentucky
21,Stanley Brundy,SF,6-6,210,November 13 1967,R,DePaul University
12,Rick Carlisle,SG,6-5,210,October 27 1959,4,University of Virginia
11,Joe Barry Carroll,C,7-0,225,July 24 1958,8,Purdue University
15,Lester Conner,PG,6-4,180,September 17 1959,6,Oregon State University
52,Chris Dudley,PF,6-11,235,February 22 1965,2,Yale University
24,Derrick Gervin,PF,6-8,200,March 28 1963,R,University of Texas at San Antonio
44,Jack Haley,PF,6-10,240,January 27 1964,1,University of California Los Angeles
23,Roy Hinson,PF,6-9,210,May 2 1961,6,Rutgers University
2,Dennis Hopson,SG,6-5,200,April 22 1965,2,Ohio State University
14,Jaren Jackson,SG,6-4,190,October 27 1967,R,Georgetown University
42,Anthony Mason,PF,6-7,250,December 14 1966,R,Tennessee State University
34,Chris Morris,SF,6-8,210,January 20 1966,1,Auburn University
7,Pete Myers,SG,6-6,180,September 15 1963,3,University of Arkansas at Little Rock
33,Charles Shackleford,C,6-10,225,April 22 1966,1,North Carolina State University
45,Purvis Short,SF,6-7,210,July 2 1957,11,Jackson State University
24,Jay Taylor,SG,6-3,190,October 3 1967,R,Eastern Illinois University
22,Leon Wood,SG,6-3,185,March 25 1962,4,California State University Fullerton
