
Rk,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Drazen Petrovic,27,82,3027,15.8,.587,.211,.218,3.3,5.8,4.5,12.7,1.7,0.2,13.0,22.0,,6.2,1.6,7.7,.122,,2.7,-1.9,0.8,2.2
2,Mookie Blaylock,24,72,2548,15.2,.465,.054,.178,4.1,7.2,5.6,27.2,3.3,0.9,12.4,19.3,,2.3,2.6,4.9,.092,,0.4,0.5,0.9,1.9
3,Chris Morris,26,77,2394,14.4,.531,.152,.318,8.5,13.5,10.9,11.2,2.6,2.0,17.1,16.7,,1.8,2.9,4.7,.094,,0.1,1.9,2.0,2.4
4,Derrick Coleman,24,65,2207,19.5,.570,.079,.410,9.4,20.6,14.8,14.1,1.2,2.6,18.0,25.1,,3.0,2.6,5.6,.121,,1.2,0.7,1.9,2.2
5,Sam Bowie,30,71,2179,16.4,.496,.026,.296,9.5,18.9,14.0,12.5,0.9,3.3,12.3,22.5,,2.2,2.4,4.6,.101,,-0.7,0.7,0.0,1.1
6,Chris Dudley,26,82,1902,13.2,.420,.000,.362,18.4,22.8,20.6,3.9,1.0,5.6,12.6,13.2,,0.6,2.8,3.4,.085,,-2.8,2.0,-0.8,0.6
7,Terry Mills,24,82,1714,14.7,.503,.034,.227,11.2,17.0,14.0,7.0,1.4,1.4,10.0,19.2,,2.2,1.7,3.9,.108,,-0.9,-0.9,-1.8,0.1
8,Rafael Addison,27,76,1175,10.9,.477,.113,.176,5.7,9.3,7.4,8.1,1.2,1.4,9.0,17.5,,0.8,0.7,1.5,.063,,-2.3,-1.5,-3.8,-0.5
9,Kenny Anderson,21,64,1086,12.8,.430,.027,.204,3.6,9.0,6.2,26.5,3.0,0.5,15.6,22.9,,-0.6,1.1,0.5,.022,,-2.7,-0.9,-3.6,-0.5
10,Tate George,23,70,1037,11.8,.483,.016,.275,3.6,7.3,5.4,21.7,1.9,0.2,15.9,19.9,,0.4,0.7,1.1,.050,,-2.4,-2.1,-4.5,-0.7
11,Doug Lee,27,46,307,10.4,.482,.319,.164,5.7,6.4,6.0,10.0,1.8,0.2,8.8,17.8,,0.3,0.2,0.4,.067,,-1.0,-2.7,-3.7,-0.1
12,Dave Feitl,29,34,175,11.9,.480,.000,.247,12.3,25.1,18.4,5.0,0.6,1.0,18.2,23.9,,-0.1,0.2,0.1,.019,,-5.8,-3.5,-9.3,-0.3
13,Jud Buechler,23,2,29,11.8,.500,.000,.000,7.1,0.0,3.7,9.3,3.4,2.0,11.1,12.5,,0.0,0.0,0.0,.079,,-1.7,0.5,-1.2,0.0
