
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Keith Van Horn,22,62,62,37.5,7.2,16.9,.426,1.1,3.6,.308,6.1,13.3,.458,.459,4.2,4.9,.846,2.3,4.3,6.6,1.7,1.0,0.4,2.6,3.5,19.7
2,Kerry Kittles,23,77,76,36.5,6.6,15.0,.440,1.4,3.4,.418,5.2,11.6,.447,.488,2.6,3.2,.808,1.7,3.0,4.7,2.3,1.7,0.5,1.4,2.0,17.2
3,Jayson Williams,29,65,65,36.0,4.9,9.9,.498,0.0,0.1,.000,4.9,9.9,.501,.498,3.0,4.5,.666,6.8,6.8,13.6,1.0,0.7,0.8,1.5,3.6,12.9
4,Sam Cassell,28,75,72,34.7,6.8,15.4,.441,0.2,1.1,.188,6.6,14.3,.460,.448,5.8,6.8,.860,1.0,2.1,3.0,8.0,1.6,0.3,3.6,3.5,19.6
5,Kendall Gill,29,81,81,33.7,5.2,12.0,.429,0.3,1.2,.257,4.8,10.8,.449,.443,2.8,4.0,.688,1.4,3.4,4.8,2.5,1.9,0.8,1.5,3.3,13.4
6,Chris Gatling,30,57,16,23.8,4.4,9.6,.455,0.0,0.1,.250,4.3,9.5,.457,.456,2.8,4.6,.600,2.1,3.8,5.9,0.9,0.9,0.5,1.7,2.7,11.5
7,Sherman Douglas,31,80,11,21.2,3.2,6.4,.495,0.2,0.6,.304,3.0,5.9,.514,.509,1.4,2.2,.669,0.7,1.0,1.7,4.0,0.7,0.1,1.4,2.0,8.0
8,Rony Seikaly,32,9,2,16.9,1.4,4.6,.317,0.0,0.0,,1.4,4.6,.317,.317,1.8,3.0,.593,1.8,2.2,4.0,0.9,0.3,0.4,1.3,3.0,4.7
9,Michael Cage,36,79,17,15.2,0.5,1.1,.512,0.0,0.0,.000,0.5,1.1,.518,.512,0.3,0.5,.556,1.5,2.4,3.9,0.4,0.6,0.6,0.3,1.3,1.3
10,David Benoit,29,53,0,15.1,1.9,5.1,.379,0.8,2.2,.345,1.2,2.8,.407,.455,0.7,0.8,.841,0.8,1.9,2.7,0.3,0.5,0.3,0.7,2.3,5.3
11,Lucious Harris,27,50,0,13.4,1.4,3.5,.390,0.2,0.8,.308,1.1,2.8,.413,.424,0.8,1.1,.745,0.4,0.6,1.0,0.8,0.8,0.1,0.4,1.5,3.8
12,Kevin Edwards,32,27,5,13.0,1.4,3.9,.349,0.1,0.4,.364,1.2,3.5,.347,.368,0.5,0.6,.867,0.4,0.9,1.3,1.0,0.8,0.0,0.7,0.7,3.4
13,Brian Evans,24,28,1,11.9,1.6,3.8,.434,0.6,1.5,.405,1.0,2.3,.453,.514,0.2,0.3,.667,0.6,1.2,1.9,0.9,0.3,0.2,0.5,1.6,4.1
14,David Vaughn,24,15,2,10.7,1.3,2.2,.576,0.0,0.0,,1.3,2.2,.576,.576,0.4,0.6,.667,1.3,2.0,3.3,0.1,0.3,0.3,0.6,2.3,2.9
15,Xavier McDaniel,34,20,0,9.0,0.5,1.5,.333,0.0,0.0,,0.5,1.5,.333,.333,0.3,0.4,.625,0.6,1.0,1.6,0.5,0.2,0.1,0.4,1.2,1.3
16,Yinka Dare,25,10,0,6.0,0.4,1.8,.222,0.0,0.0,,0.4,1.8,.222,.222,0.4,0.8,.500,1.0,0.7,1.7,0.1,0.0,0.2,0.2,0.9,1.2
17,Don MacLean,28,9,0,4.7,0.1,1.1,.100,0.1,0.2,.500,0.0,0.9,.000,.150,0.0,0.0,,0.3,0.2,0.6,0.0,0.0,0.0,0.2,0.8,0.3
18,Jack Haley,34,16,0,3.2,0.3,1.1,.278,0.0,0.1,.000,0.3,1.1,.294,.278,0.8,1.3,.571,0.3,0.6,0.9,0.0,0.0,0.1,0.3,0.6,1.4
