
Rk,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Stephon Marbury,22,74,2881,20.7,.528,.177,.407,2.3,7.2,4.6,39.0,2.0,0.4,14.8,28.2,,6.1,1.2,7.4,.123,,4.1,-2.3,1.8,2.8
2,Keith Van Horn,24,80,2782,18.1,.537,.181,.313,7.7,19.7,13.5,10.3,1.2,1.5,14.6,26.8,,3.2,2.4,5.5,.096,,0.5,-1.0,-0.5,1.1
3,Kendall Gill,31,76,2355,15.2,.465,.082,.267,3.7,9.8,6.7,15.3,3.1,1.2,7.7,21.9,,1.6,2.1,3.7,.076,,-0.4,0.4,0.0,1.2
4,Jamie Feick,25,81,2241,12.3,.477,.007,.314,12.6,25.2,18.7,4.5,1.0,1.2,10.9,10.8,,2.6,2.3,4.8,.103,,-2.1,0.5,-1.7,0.2
5,Kerry Kittles,25,62,1896,16.1,.535,.344,.182,2.6,10.9,6.6,12.7,2.2,0.7,6.9,19.0,,3.5,1.2,4.7,.119,,2.0,-0.8,1.3,1.6
6,Johnny Newman,36,82,1763,13.6,.566,.305,.368,2.4,7.5,4.9,6.2,1.6,0.4,11.0,20.5,,2.9,0.6,3.5,.095,,0.3,-2.7,-2.4,-0.2
7,Lucious Harris,29,77,1510,13.3,.506,.248,.214,3.8,10.2,6.9,10.7,2.2,0.3,7.7,16.2,,1.9,0.9,2.8,.089,,-0.3,-0.9,-1.2,0.3
8,Scott Burrell,29,74,1336,14.2,.511,.554,.119,5.2,16.5,10.6,8.6,2.6,2.3,7.9,16.0,,1.7,1.5,3.2,.115,,0.7,0.7,1.4,1.1
9,Jim McIlvaine,27,66,1048,10.0,.439,.000,.364,10.9,13.6,12.2,5.0,1.3,7.7,17.5,9.2,,0.3,1.2,1.5,.068,,-3.5,4.3,0.8,0.7
10,Elliot Perry,30,60,803,14.8,.493,.133,.211,1.7,6.9,4.2,29.3,2.5,0.1,15.7,21.2,,0.5,0.4,0.9,.055,,-1.2,-2.8,-4.0,-0.4
11,Evan Eschmeyer,24,31,373,11.8,.534,.000,.417,11.5,21.0,16.1,8.7,1.1,3.9,19.8,12.7,,0.3,0.4,0.7,.095,,-2.6,1.7,-0.8,0.1
12,Sherman Douglas,33,20,309,15.4,.586,.178,.311,4.5,6.0,5.2,18.2,2.9,0.0,19.0,18.2,,0.5,0.2,0.6,.100,,0.2,-1.4,-1.1,0.1
13,Gheorghe Muresan,28,30,267,11.8,.492,.000,.422,9.6,19.0,14.1,5.6,0.0,3.1,13.0,20.5,,0.1,0.2,0.3,.052,,-4.3,-2.2,-6.4,-0.3
14,Michael Cage,38,20,242,12.6,.533,.000,.125,14.6,22.8,18.6,5.3,1.7,2.3,13.6,5.4,,0.4,0.3,0.7,.140,,-1.5,2.0,0.5,0.2
15,Mark Hendrickson,25,5,24,5.5,.266,.000,2.000,4.5,4.8,4.6,16.6,0.0,0.0,0.0,3.5,,0.0,0.0,0.0,.030,,-4.4,-2.3,-6.6,0.0
