
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Stephon Marbury,23,67,67,2557,563,1277,.441,110,335,.328,453,942,.481,.484,362,458,.790,53,152,205,506,79,5,197,150,1598
2,Aaron Williams,29,82,25,2336,297,650,.457,0,2,.000,297,648,.458,.457,244,310,.787,211,379,590,88,59,113,132,319,838
3,Kenyon Martin,23,68,68,2272,346,777,.445,1,11,.091,345,766,.450,.446,121,192,.630,137,365,502,131,78,113,138,281,814
4,Lucious Harris,30,73,50,2071,265,624,.425,46,132,.348,219,492,.445,.462,107,139,.770,71,217,288,135,74,16,64,127,683
5,Johnny Newman,37,82,17,2049,291,695,.419,59,176,.335,232,519,.447,.461,254,297,.855,34,142,176,115,63,10,106,229,895
6,Keith Van Horn,25,49,47,1733,308,708,.435,65,170,.382,243,538,.452,.481,150,186,.806,78,269,347,82,40,20,103,150,831
7,Stephen Jackson,22,77,40,1660,243,572,.425,52,155,.335,191,417,.458,.470,97,135,.719,41,167,208,140,86,14,130,166,635
8,Evan Eschmeyer,25,74,51,1331,92,200,.460,0,0,,92,200,.460,.460,67,102,.657,135,231,366,40,41,58,53,220,251
9,Sherman Douglas,34,59,7,1094,122,303,.403,8,40,.200,114,263,.433,.416,86,115,.748,21,53,74,144,36,4,79,93,338
10,Kendall Gill,32,31,26,892,107,323,.331,4,14,.286,103,309,.333,.337,65,90,.722,32,99,131,87,47,7,48,64,283
11,Doug Overton,31,12,9,316,35,93,.376,10,32,.313,25,61,.410,.430,3,5,.600,1,23,24,53,3,0,15,20,83
12,Vladimir Stepania,24,29,0,280,28,88,.318,1,4,.250,27,84,.321,.324,25,34,.735,35,74,109,16,10,11,19,47,82
13,Soumaila Samake,22,34,0,226,18,48,.375,0,0,,18,48,.375,.375,10,24,.417,22,31,53,1,2,14,4,23,46
14,Mark Strickland,30,9,0,202,21,54,.389,1,1,1.000,20,53,.377,.398,8,11,.727,11,30,41,7,4,3,10,14,51
15,Jim McIlvaine,28,18,3,193,10,28,.357,0,0,,10,28,.357,.357,8,12,.667,8,27,35,4,7,15,9,35,28
16,Kevin Ollie,28,19,0,161,5,27,.185,0,0,,5,27,.185,.185,12,19,.632,3,20,23,25,5,0,9,14,22
17,Eddie Gill,22,8,0,152,16,41,.390,3,9,.333,13,32,.406,.427,4,5,.800,0,9,9,24,4,1,10,9,39
18,Jamie Feick,26,6,0,149,8,23,.348,0,0,,8,23,.348,.348,6,12,.500,12,44,56,5,8,3,7,15,22
19,Jamel Thomas,27,5,0,56,6,19,.316,1,3,.333,5,16,.313,.342,0,0,,4,5,9,0,3,0,6,6,13
,Team Totals,,82,,19730,2781,6550,.425,361,1084,.333,2420,5466,.443,.452,1629,2146,.759,909,2337,3246,1603,649,407,1208,1982,7552
