
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Jason Kidd,29,80,80,2989,6.2,15.0,.414,1.5,4.5,.341,4.7,10.5,.445,4.1,4.9,.841,1.3,4.7,6.1,8.6,2.2,0.3,3.6,1.5,18.0
2,Richard Jefferson,22,80,80,2879,5.7,11.4,.501,0.1,0.3,.250,5.6,11.1,.507,4.1,5.5,.743,1.9,4.6,6.4,2.5,1.0,0.6,2.0,2.7,15.5
3,Kenyon Martin,25,77,77,2628,7.0,14.8,.470,0.1,0.6,.209,6.8,14.2,.481,3.5,5.4,.653,2.2,6.5,8.8,2.5,1.3,1.0,2.6,4.0,17.6
4,Lucious Harris,32,77,25,1973,5.4,13.2,.413,0.9,2.5,.346,4.6,10.7,.429,2.8,3.4,.804,1.1,3.1,4.2,2.8,1.0,0.1,1.3,1.7,14.5
5,Kerry Kittles,28,65,57,1951,6.1,13.1,.467,1.4,4.0,.356,4.7,9.1,.516,2.0,2.5,.785,1.0,3.7,4.6,3.1,1.9,0.6,1.0,2.0,15.6
6,Jason Collins,24,81,66,1900,2.7,6.4,.414,0.0,0.1,.000,2.7,6.3,.419,3.4,4.5,.763,2.6,4.4,7.0,1.6,0.9,0.8,1.6,4.8,8.7
7,Aaron Williams,31,81,0,1597,4.5,9.9,.453,0.0,0.0,.000,4.5,9.9,.454,2.3,2.9,.785,3.1,4.4,7.5,2.0,0.6,1.3,1.9,4.6,11.3
8,Rodney Rogers,31,68,0,1303,5.1,12.6,.402,1.2,3.6,.333,3.8,8.9,.430,1.9,2.5,.756,1.7,5.6,7.3,3.0,1.4,0.9,2.5,5.3,13.2
9,Anthony Johnson,28,66,2,842,4.4,9.9,.446,0.6,1.5,.371,3.8,8.4,.459,2.2,3.2,.689,0.6,2.8,3.3,3.7,1.6,0.2,1.8,4.0,11.5
10,Brian Scalabrine,24,59,7,724,3.4,8.4,.402,0.7,1.9,.359,2.7,6.5,.415,1.5,1.8,.833,2.0,5.0,7.0,2.3,0.8,0.9,2.3,3.8,9.0
11,Dikembe Mutombo,36,24,16,514,3.4,9.2,.374,0.0,0.0,,3.4,9.2,.374,2.8,3.9,.727,3.8,6.9,10.7,1.3,0.3,2.6,2.4,3.8,9.7
12,Tamar Slay,22,36,0,274,5.1,13.5,.379,0.9,3.3,.280,4.2,10.2,.410,0.9,1.3,.700,1.1,3.0,4.1,1.8,1.8,0.4,2.6,4.1,12.1
13,Chris Childs,35,12,0,106,2.0,6.8,.300,0.3,2.0,.167,1.7,4.8,.357,0.7,1.0,.667,1.0,0.7,1.7,5.4,2.7,0.3,2.0,5.8,5.1
14,Brandon Armstrong,22,17,0,69,4.7,14.1,.333,0.5,3.1,.167,4.2,11.0,.381,2.6,3.1,.833,0.0,2.1,2.1,1.0,1.6,0.5,2.6,4.2,12.5
15,Donny Marshall,30,3,0,6,0.0,18.0,.000,0.0,6.0,.000,0.0,12.0,.000,0.0,0.0,,0.0,18.0,18.0,0.0,0.0,0.0,6.0,0.0,0.0
