
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
32,Courtney Alexander,PG,6-5,205,April 27 1977,2,California State University Fresno
12,Kenny Anderson,PG,6-0,168,October 9 1970,11,Georgia Institute of Technology
2,Stacey Augmon,SG,6-8,205,August 1 1968,11,University of Nevada Las Vegas
42,P.J. Brown,PF,6-11,225,October 14 1969,9,Louisiana Tech University
5,Elden Campbell,C,6-11,215,July 23 1968,12,Clemson University
1,Baron Davis,PG,6-3,209,April 13 1979,3,University of California Los Angeles
17,Bryce Drew,PG,6-2,185,September 21 1974,4,Valparaiso University
35,Kirk Haston,SF,6-9,242,March 10 1979,1,Indiana University
3,Randy Livingston,PG,6-4,209,April 2 1975,6,Louisiana State University
9,George Lynch,SG,6-8,218,September 3 1970,9,University of North Carolina
21,Jamaal Magloire,C,6-11,259,May 21 1978,2,University of Kentucky
24,Jamal Mashburn,SF,6-8,240,November 29 1972,9,University of Kentucky
6,Jerome Moiso,C,6-10,235,June 15 1978,2,University of California Los Angeles
14,Robert Pack,PG,6-2,180,February 3 1969,11,University of Southern California
34,Robert Traylor,C,6-8,284,February 1 1977,4,University of Michigan
4,David Wesley,SG,6-0,190,November 14 1970,9,Baylor University
