
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Jamal Mashburn,30,82,81,3321,670,1586,.422,119,306,.389,551,1280,.430,.460,313,369,.848,66,432,498,462,83,17,230,196,1772
2,David Wesley,32,73,73,2710,449,1037,.433,134,316,.424,315,721,.437,.498,185,237,.781,38,137,175,251,109,9,132,173,1217
3,P.J. Brown,33,78,78,2609,319,601,.531,0,3,.000,319,598,.533,.531,194,232,.836,243,458,701,147,67,80,98,203,832
4,Jamaal Magloire,24,82,82,2443,305,635,.480,0,3,.000,305,632,.483,.480,231,322,.717,260,464,724,88,49,111,158,276,841
5,Baron Davis,23,50,47,1889,332,798,.416,99,283,.350,233,515,.452,.478,93,131,.710,56,130,186,320,91,22,140,148,856
6,George Lynch,32,81,32,1497,147,359,.409,28,79,.354,119,280,.425,.448,41,74,.554,139,214,353,104,66,19,52,136,363
7,Courtney Alexander,25,66,7,1360,193,505,.382,19,57,.333,174,448,.388,.401,118,146,.808,39,79,118,79,31,6,68,125,523
8,Stacey Augmon,34,70,3,862,79,192,.411,0,7,.000,79,185,.427,.411,54,72,.750,26,93,119,69,27,9,40,80,212
9,Robert Traylor,25,69,0,851,105,237,.443,1,3,.333,104,234,.444,.445,57,88,.648,108,154,262,50,45,37,53,153,268
10,Elden Campbell,34,41,1,685,101,247,.409,0,1,.000,101,246,.411,.409,93,115,.809,34,108,142,42,24,31,42,102,295
11,Jerome Moiso,24,51,1,644,89,171,.520,0,0,,89,171,.520,.520,27,41,.659,59,119,178,22,19,44,46,87,205
12,Kenny Anderson,32,23,1,446,61,150,.407,1,2,.500,60,148,.405,.410,16,22,.727,14,31,45,77,18,4,42,43,139
13,Robert Pack,33,28,4,440,52,129,.403,0,5,.000,52,124,.419,.403,41,55,.745,11,40,51,81,25,0,40,35,145
14,Bryce Drew,28,13,0,79,8,27,.296,3,7,.429,5,20,.250,.352,0,0,,4,9,13,11,2,0,3,2,19
15,Kirk Haston,23,12,0,57,2,17,.118,0,3,.000,2,14,.143,.118,2,4,.500,0,7,7,3,0,5,7,10,6
16,Randy Livingston,27,2,0,12,2,4,.500,0,0,,2,4,.500,.500,2,2,1.000,0,0,0,1,0,0,0,0,6
,Team Totals,,82,,19905,2914,6695,.435,404,1075,.376,2510,5620,.447,.465,1467,1910,.768,1097,2475,3572,1807,656,394,1212,1769,7699
