
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
3,Darrell Armstrong,PG,6-0,170,June 22 1968,9,Fayetteville State University
2,Stacey Augmon,SF,6-8,205,August 1 1968,12,University of Nevada Las Vegas
42,P.J. Brown,PF,6-11,225,October 14 1969,10,Louisiana Tech University
6,Tierre Brown,PG,6-2,189,June 3 1979,2,McNeese State University
5,Maurice Carter,SG,6-5,210,October 12 1976,R,Louisiana State University
1,Baron Davis,PG,6-3,209,April 13 1979,4,University of California Los Angeles
17,Bryce Drew,PG,6-2,185,September 21 1974,5,Valparaiso University
9,George Lynch,SF,6-8,218,September 3 1970,10,University of North Carolina
21,Jamaal Magloire,C,6-11,259,May 21 1978,3,University of Kentucky
24,Jamal Mashburn,SF,6-8,240,November 29 1972,10,University of Kentucky
45,Sean Rooks,C,6-10,250,September 9 1969,11,University of Arizona
8,Steve Smith,SG,6-7,200,March 31 1969,12,Michigan State University
34,Robert Traylor,C,6-8,284,February 1 1977,5,University of Michigan
4,David Wesley,SG,6-0,190,November 14 1970,10,Baylor University
30,David West,PF,6-9,250,August 29 1980,R,Xavier University
11,Shammond Williams,PG,6-1,201,April 5 1975,5,University of North Carolina
