
Rk,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,P.J. Brown,35,82,2817,15.5,.512,.000,.321,10.7,20.6,15.5,11.2,1.4,1.4,10.5,15.9,,4.0,2.9,6.9,.118,,-0.5,1.7,1.3,2.3
2,Dan Dickau,26,67,2074,15.0,.521,.324,.301,1.9,8.6,5.1,31.2,2.0,0.2,14.5,22.2,,2.3,1.3,3.5,.082,,1.6,-1.8,-0.2,0.9
3,Lee Nailon,29,68,2017,14.5,.511,.002,.190,7.2,10.4,8.7,11.3,1.0,0.6,10.5,24.2,,1.3,0.9,2.2,.053,,-0.9,-1.6,-2.5,-0.2
4,J.R. Smith,19,76,1859,10.9,.478,.376,.215,2.4,7.5,4.8,14.6,1.6,0.5,11.7,23.2,,-0.7,0.9,0.2,.006,,-1.2,-2.3,-3.5,-0.7
5,Chris Andersen,26,67,1430,18.5,.581,.008,.531,10.9,23.6,17.0,9.1,0.5,5.6,12.7,16.4,,2.7,1.8,4.5,.152,,-1.1,2.4,1.2,1.2
6,Bostjan Nachbar,24,55,1137,10.9,.537,.476,.285,2.0,14.3,7.9,10.3,1.3,1.1,14.1,19.7,,0.5,0.9,1.4,.057,,-1.3,-1.2,-2.5,-0.1
7,Casey Jacobsen,23,44,1030,11.7,.543,.351,.518,2.0,9.8,5.7,12.6,1.2,0.5,12.5,15.9,,1.1,0.5,1.6,.074,,-1.3,-1.2,-2.5,-0.1
8,David Wesley,34,26,934,12.2,.481,.234,.222,1.5,9.7,5.4,21.6,2.1,0.1,12.6,21.4,,0.1,0.6,0.7,.038,,-0.8,-1.0,-1.8,0.0
9,George Lynch,34,44,933,7.9,.412,.196,.122,6.7,15.7,11.0,15.5,1.9,1.0,22.3,12.8,,-0.9,0.9,0.0,.000,,-4.3,1.6,-2.6,-0.1
10,Rodney Rogers,33,30,882,7.1,.447,.318,.145,3.6,16.0,9.5,12.2,1.2,1.1,17.7,19.7,,-1.3,0.7,-0.6,-0.035,,-4.1,-0.1,-4.2,-0.5
11,Jamaal Magloire,26,23,703,12.9,.480,.000,.542,12.8,22.1,17.3,7.6,0.6,2.6,17.3,22.5,,-0.4,0.7,0.3,.019,,-3.9,0.0,-3.9,-0.3
12,Jackson Vroman,23,36,648,9.7,.460,.016,.372,10.4,19.6,14.8,9.0,1.9,2.1,21.1,19.4,,-0.8,0.8,-0.1,-0.005,,-5.1,1.2,-4.0,-0.3
13,Baron Davis,25,18,593,21.4,.492,.452,.317,3.1,10.6,6.7,44.0,2.9,0.5,9.9,30.0,,1.1,0.6,1.7,.138,,7.3,-0.9,6.4,1.2
14,David West,24,30,552,11.1,.479,.029,.291,8.2,19.9,13.8,7.6,1.2,2.3,16.0,19.4,,-0.3,0.6,0.2,.022,,-4.7,0.2,-4.6,-0.4
15,Junior Harrington,24,29,550,7.7,.421,.107,.197,2.7,11.2,6.8,19.9,2.5,0.7,17.5,19.8,,-0.8,0.5,-0.3,-0.028,,-4.8,0.0,-4.8,-0.4
16,Matt Freije,23,23,441,4.1,.356,.425,.063,4.1,12.6,8.2,7.6,1.6,0.4,11.5,15.5,,-0.8,0.3,-0.5,-0.052,,-5.2,-0.7,-5.9,-0.4
17,Darrell Armstrong,36,14,412,11.1,.422,.440,.132,4.4,9.6,6.9,28.5,2.0,0.4,14.3,22.1,,-0.3,0.3,0.0,-0.002,,-0.5,-1.3,-1.8,0.0
18,Speedy Claxton,26,16,365,13.4,.422,.082,.373,1.6,8.8,5.0,42.3,3.3,0.4,17.4,19.7,,-0.2,0.4,0.2,.027,,-2.5,-1.4,-3.9,-0.2
19,Maciej Lampe,19,21,261,8.3,.406,.012,.120,6.5,19.9,12.9,6.9,0.8,1.5,7.4,16.8,,-0.2,0.2,0.0,.009,,-5.9,-0.9,-6.8,-0.3
20,Alex Garcia,24,8,146,8.4,.409,.346,.077,5.5,6.8,6.1,22.1,1.5,0.6,13.0,19.7,,-0.1,0.1,-0.1,-0.018,,-2.5,-2.1,-4.5,-0.1
21,Corsley Edwards,25,10,110,8.6,.372,.000,.387,12.4,14.6,13.5,4.6,1.5,2.9,5.2,16.2,,0.0,0.1,0.1,.026,,-5.1,-0.2,-5.2,-0.1
22,Lonny Baxter,26,4,36,-8.0,.253,.000,.182,12.6,13.7,13.2,0.0,0.0,0.0,25.2,20.5,,-0.2,0.0,-0.2,-0.266,,-14.4,-6.2,-20.6,-0.2
