
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Marco Belinelli,25,66,55,1966,5.2,12.6,.417,2.0,5.2,.377,3.3,7.4,.445,1.8,2.4,.783,0.3,2.8,3.1,1.8,0.9,0.1,1.3,2.1,14.3
2,Greivis Vasquez,25,66,26,1706,4.7,11.0,.430,0.9,2.8,.319,3.8,8.2,.469,2.0,2.5,.821,0.5,3.2,3.7,7.6,1.3,0.2,3.1,2.7,12.4
3,Jarrett Jack,28,45,39,1530,6.3,13.7,.456,0.9,2.6,.348,5.3,11.1,.482,3.0,3.5,.872,0.5,3.6,4.1,6.7,0.7,0.2,2.5,2.2,16.5
4,Al-Farouq Aminu,21,66,21,1477,3.7,8.9,.411,0.3,1.1,.277,3.3,7.8,.431,2.1,2.8,.754,2.3,5.2,7.5,1.6,1.4,0.8,2.2,3.3,9.7
5,Chris Kaman,29,47,33,1372,7.0,15.7,.446,0.0,0.0,,7.0,15.7,.446,2.2,2.8,.785,2.3,7.2,9.6,2.7,0.7,2.0,3.4,2.8,16.2
6,Trevor Ariza,26,41,41,1350,4.5,10.7,.417,0.8,2.3,.333,3.7,8.4,.440,2.1,2.7,.775,1.1,4.6,5.7,3.6,1.8,0.7,2.0,1.9,11.8
7,Gustavo Ayon,26,54,24,1088,4.6,8.6,.536,0.0,0.0,.000,4.6,8.6,.538,1.3,2.1,.619,2.8,5.9,8.8,2.4,1.8,1.5,1.5,3.9,10.6
8,Carl Landry,28,41,8,999,6.6,13.0,.503,0.0,0.1,.000,6.6,12.9,.507,5.3,6.6,.799,2.8,4.9,7.7,1.4,0.5,0.4,2.3,3.2,18.4
9,Jason Smith,25,40,29,947,6.9,13.2,.520,0.0,0.3,.111,6.8,12.9,.531,1.3,1.8,.702,2.7,4.7,7.5,1.3,0.8,1.6,1.5,3.9,15.1
10,Emeka Okafor,29,27,27,781,5.3,9.9,.533,0.0,0.0,,5.3,9.9,.533,1.8,3.4,.514,3.2,6.6,9.8,1.1,0.7,1.2,1.7,3.4,12.3
11,Xavier Henry,20,45,0,759,4.3,10.8,.395,0.3,0.8,.412,3.9,10.0,.393,2.5,4.0,.612,1.1,3.9,5.0,1.7,1.2,0.4,1.7,2.8,11.3
12,Lance Thomas,23,42,10,630,3.3,7.2,.452,0.0,0.1,.000,3.3,7.1,.456,3.0,3.5,.839,2.8,4.4,7.2,0.7,0.6,0.4,1.4,4.5,9.5
13,Eric Gordon,23,9,9,310,7.3,16.3,.450,1.2,4.6,.250,6.2,11.6,.530,5.7,7.5,.754,0.2,2.7,2.9,3.6,1.5,0.5,2.8,2.3,21.5
14,DaJuan Summers,24,15,6,209,4.8,11.2,.431,0.9,2.8,.313,4.0,8.4,.469,1.2,1.6,.778,1.4,2.6,4.0,1.7,1.2,0.0,1.4,5.3,11.7
15,Solomon Jones,27,11,1,196,4.2,9.7,.434,0.0,0.0,,4.2,9.7,.434,2.8,3.3,.833,3.9,3.7,7.5,1.3,0.9,1.1,2.4,5.7,11.2
16,Jerome Dyson,24,9,1,180,3.8,9.6,.396,0.2,1.6,.125,3.6,8.0,.450,5.6,7.2,.778,0.4,3.4,3.8,3.6,2.2,0.4,4.0,3.8,13.4
17,Carldell Johnson,29,15,0,119,3.3,10.6,.314,1.2,4.5,.267,2.1,6.1,.350,0.3,0.9,.333,0.3,2.4,2.7,6.7,2.4,0.0,2.1,3.3,8.2
18,Darryl Watkins,27,5,0,98,2.6,5.1,.500,0.0,0.0,,2.6,5.1,.500,3.3,6.6,.500,2.9,7.0,9.9,1.1,1.8,1.5,2.9,5.1,8.4
19,Chris Johnson,26,7,0,82,4.0,7.9,.500,0.0,0.0,,4.0,7.9,.500,2.2,3.1,.714,3.1,6.6,9.7,0.4,2.2,0.4,3.5,5.7,10.1
20,Trey Johnson,27,11,0,61,4.7,8.3,.571,0.0,0.0,,4.7,8.3,.571,3.0,3.0,1.000,1.8,5.3,7.1,2.4,0.6,0.0,3.0,5.9,12.4
21,Donald Sloan,24,3,0,41,4.4,12.3,.357,0.0,1.8,.000,4.4,10.5,.417,1.8,3.5,.500,1.8,0.9,2.6,7.0,1.8,0.0,4.4,1.8,10.5
22,Jeff Foote,24,4,0,39,1.8,5.5,.333,0.0,0.0,,1.8,5.5,.333,0.0,0.0,,0.9,4.6,5.5,0.0,0.0,0.9,1.8,4.6,3.7
