
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1,Greivis Vasquez,26,78,78,2685,8.8,20.4,.433,1.7,4.9,.342,7.2,15.5,.462,2.5,3.1,.805,0.9,5.9,6.8,14.2,1.3,0.1,5.0,3.8,21.9,,105,112
2,Ryan Anderson,24,81,22,2503,10.2,24.2,.423,4.6,12.1,.382,5.6,12.1,.464,3.3,3.9,.844,4.1,7.1,11.2,2.1,0.9,0.7,2.1,3.9,28.4,,114,112
3,Robin Lopez,24,82,82,2136,9.7,18.3,.534,0.0,0.0,,9.7,18.3,.534,4.1,5.3,.778,5.7,6.0,11.7,1.6,0.8,3.2,2.8,4.2,23.6,,114,110
4,Al-Farouq Aminu,22,76,71,2066,5.9,12.4,.475,0.1,0.5,.211,5.8,11.9,.486,2.7,3.6,.737,3.6,11.7,15.4,2.7,2.4,1.3,3.0,4.0,14.6,,101,105
5,Anthony Davis,19,64,60,1846,10.3,19.9,.516,0.0,0.2,.000,10.3,19.7,.521,5.0,6.6,.751,4.8,10.5,15.3,1.9,2.2,3.3,2.6,4.6,25.5,,113,104
6,Austin Rivers,20,61,26,1418,5.5,14.9,.372,1.1,3.3,.326,4.5,11.6,.385,2.3,4.1,.546,0.6,3.6,4.2,4.9,1.0,0.3,2.8,4.7,14.4,,89,114
7,Brian Roberts,27,78,5,1324,8.7,20.9,.417,2.4,6.3,.386,6.3,14.7,.430,2.9,3.2,.909,0.7,3.3,4.0,9.0,1.5,0.1,2.9,4.4,22.7,,109,113
8,Eric Gordon,24,42,40,1264,10.1,25.0,.402,2.4,7.4,.324,7.7,17.6,.436,8.0,9.5,.842,0.4,2.9,3.3,5.9,1.9,0.3,5.0,3.2,30.6,,101,112
9,Roger Mason,32,69,13,1219,5.9,13.6,.433,2.9,7.1,.415,2.9,6.5,.452,1.7,1.9,.907,0.5,5.4,5.9,3.3,1.2,0.5,2.3,4.6,16.4,,109,112
10,Jason Smith,26,51,0,876,10.3,21.1,.490,0.0,0.2,.000,10.3,20.9,.496,5.3,6.3,.843,4.0,7.6,11.5,2.1,0.9,2.8,3.4,7.6,26.0,,107,109
11,Darius Miller,22,52,2,694,3.4,8.4,.407,1.7,4.4,.393,1.7,4.1,.423,0.6,0.6,1.000,0.6,5.5,6.1,3.4,1.3,0.9,1.8,7.0,9.2,,103,111
12,Lance Thomas,24,59,9,646,4.4,8.9,.500,0.0,0.0,,4.4,8.9,.500,3.6,5.0,.729,3.7,6.0,9.7,1.4,0.9,0.6,1.2,6.5,12.5,,121,112
13,Xavier Henry,21,50,2,625,5.7,14.0,.410,0.3,1.0,.364,5.4,13.0,.413,5.0,8.0,.630,1.8,6.0,7.8,1.1,1.4,0.4,2.7,6.2,16.8,,94,111
14,Lou Amundson,30,18,0,209,4.7,10.9,.429,0.0,0.0,,4.7,10.9,.429,2.1,4.2,.500,6.2,8.8,15.0,2.1,2.3,1.6,2.1,7.0,11.4,,102,106
15,Dominic McGuire,27,9,0,145,3.4,7.9,.429,0.0,0.0,,3.4,7.9,.429,0.4,0.7,.500,2.6,7.9,10.5,3.4,3.0,1.1,1.9,4.9,7.1,,96,106
16,Terrel Harris,25,13,0,108,1.0,9.5,.105,0.0,3.5,.000,1.0,6.0,.167,0.5,1.0,.500,0.0,8.5,8.5,3.5,1.0,1.5,6.5,7.0,2.5,,28,109
17,Hakim Warrick,30,1,0,7,7.7,15.5,.500,0.0,0.0,,7.7,15.5,.500,15.5,15.5,1.000,0.0,0.0,0.0,0.0,7.7,0.0,0.0,0.0,31.0,,154,102
18,Donald Sloan,25,3,0,6,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,9.0,0.0,0.0,9.0,0.0,0.0,,40,119
19,Henry Sims,22,2,0,5,21.7,32.5,.667,0.0,0.0,,21.7,32.5,.667,0.0,0.0,,21.7,0.0,21.7,0.0,0.0,0.0,10.8,10.8,43.4,,105,118
