
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
21,Rick Adelman,PG,6-1,175,June 16 1946,6,Loyola Marymount University
25,Jim Barnett,SG,6-4,170,July 7 1944,8,University of Oregon
8,Walt Bellamy,C,6-11,225,July 24 1939,13,Indiana University
17,Henry Bibby,PG,6-1,185,November 24 1949,2,University of California Los Angeles
34,John Block,PF,6-9,207,April 16 1944,8,University of Southern California
33,Ken Boyd,SF,6-5,195,March 25 1952,R,Boston University
12,E.C. Coleman,PF,6-8,225,September 25 1950,1,Houston Baptist University
31,Mel Counts,C,7-0,230,October 16 1941,10,Oregon State University
25,Bernie Fryer,SG,6-3,185,December 25 1949,1,Brigham Young University
16,Lamar Green,C,6-7,210,March 22 1947,5,Morehead State University
23,Aaron James,SF,6-8,210,October 5 1952,R,Grambling State University
35,Ollie Johnson,SF,6-6,200,May 11 1949,2,Temple University
7,Toby Kimball,PF,6-6,220,September 7 1942,8,University of Connecticut
22,Stu Lantz,SG,6-3,175,July 13 1946,6,University of Nebraska
11,Russ Lee,SF,6-5,185,January 27 1950,2,Marshall University
44,Pete Maravich,SG,6-5,197,June 22 1947,4,Louisiana State University
34,Otto Moore,C,6-11,205,August 27 1946,6,University of Texas-Pan American
14,Louie Nelson,PG,6-3,190,May 28 1951,1,University of Washington
30,Rick Roberson,C,6-9,231,July 7 1947,5,University of Cincinnati
15,Bud Stallworth,SF,6-5,190,January 18 1950,2,University of Kansas
41,Neal Walk,C,6-10,220,July 29 1948,5,University of Florida
22,Nate Williams,SG,6-5,215,May 2 1950,3,Utah State University
