
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1,Desmond Mason,29,75,75,2575,8.4,18.6,.452,0.0,0.0,,8.4,18.6,.452,4.4,6.7,.663,2.6,4.6,7.1,2.4,1.1,0.5,4.0,3.6,21.2,,95,109
2,Tyson Chandler,24,73,73,2525,6.2,9.9,.624,0.0,0.0,.000,6.2,9.8,.625,2.2,4.2,.527,6.7,12.3,19.0,1.4,0.8,2.7,2.7,5.1,14.5,,117,103
3,Chris Paul,21,64,64,2353,8.6,19.7,.437,1.1,3.2,.350,7.5,16.5,.455,6.6,8.1,.818,1.2,5.1,6.3,12.9,2.7,0.1,3.6,3.5,25.0,,116,106
4,Rasual Butler,27,81,38,2223,7.5,18.9,.398,3.2,8.7,.369,4.3,10.2,.424,1.3,2.1,.644,1.0,5.1,6.1,1.5,1.0,1.3,1.6,3.5,19.6,,102,108
5,David West,26,52,52,1900,10.6,22.2,.476,0.2,0.7,.320,10.3,21.5,.481,5.2,6.4,.824,3.5,8.3,11.9,3.2,1.2,1.1,2.7,4.0,26.6,,110,106
6,Jannero Pargo,27,82,7,1710,8.8,21.5,.409,2.5,6.5,.388,6.3,15.0,.418,3.2,3.8,.852,0.6,5.0,5.6,6.3,1.6,0.1,3.8,3.8,23.4,,100,108
7,Devin Brown,28,58,49,1662,7.5,17.8,.420,2.6,7.3,.357,4.9,10.5,.463,3.9,5.0,.794,1.8,6.3,8.0,4.8,1.4,0.3,2.9,4.4,21.4,,109,108
8,Bobby Jackson,33,56,2,1330,8.2,20.7,.394,2.2,6.6,.327,6.0,14.1,.425,5.2,6.7,.774,1.7,5.4,7.1,5.6,2.0,0.2,3.1,3.9,23.7,,104,107
9,Marc Jackson,32,56,25,1025,8.3,20.1,.410,0.0,0.1,.000,8.3,20.1,.411,4.7,5.3,.874,3.2,6.7,10.0,3.0,1.1,0.4,3.4,4.6,21.2,,97,108
10,Linton Johnson,26,54,0,720,6.9,14.0,.489,0.7,2.2,.333,6.1,11.8,.519,2.2,2.7,.811,3.8,8.2,12.0,1.3,2.4,1.3,2.0,7.5,16.7,,111,103
11,Hilton Armstrong,22,56,5,634,5.7,10.5,.544,0.0,0.0,,5.7,10.5,.544,3.4,5.6,.597,4.9,7.6,12.5,0.8,1.0,2.2,2.9,6.6,14.8,,106,105
12,Cedric Simmons,21,43,4,534,5.5,13.2,.417,0.0,0.0,,5.5,13.2,.417,1.6,3.3,.485,4.4,6.3,10.7,1.2,0.8,2.3,2.2,7.5,12.6,,92,107
13,Peja Stojakovic,29,13,13,425,10.4,24.5,.423,4.3,10.5,.405,6.1,14.0,.438,3.9,4.8,.816,1.4,5.4,6.8,1.4,1.0,0.5,2.4,3.6,28.9,,108,109
14,Brandon Bass,21,21,3,162,4.9,14.4,.341,0.0,0.3,.000,4.9,14.1,.349,3.9,5.3,.750,4.3,9.9,14.1,1.0,0.7,1.0,3.3,5.3,13.8,,86,106
15,Marcus Vinicius,22,13,0,103,3.6,7.7,.467,1.5,3.6,.429,2.1,4.1,.500,2.6,3.6,.714,1.0,4.6,5.7,2.6,1.0,0.5,3.1,5.2,11.4,,102,109
