
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Gerald Wilkins,23,80,73,2758,633,1302,.486,26,74,.351,607,1228,.494,.496,235,335,.701,120,174,294,354,88,18,214,165,1527
2,Patrick Ewing,24,63,63,2206,530,1053,.503,0,7,.000,530,1046,.507,.503,296,415,.713,157,398,555,104,89,147,229,248,1356
3,Bill Cartwright,29,58,50,1989,335,631,.531,0,0,,335,631,.531,.531,346,438,.790,132,313,445,96,40,26,128,188,1016
4,Rory Sparrow,28,80,30,1951,263,590,.446,11,42,.262,252,548,.460,.455,71,89,.798,29,86,115,432,67,6,140,160,608
5,Gerald Henderson,31,68,53,1890,273,624,.438,19,74,.257,254,550,.462,.453,173,212,.816,44,122,166,439,95,11,157,191,738
6,Kenny Walker,22,68,64,1719,285,581,.491,0,4,.000,285,577,.494,.491,140,185,.757,118,220,338,75,49,49,75,236,710
7,Trent Tucker,27,70,15,1691,325,691,.470,68,161,.422,257,530,.485,.520,77,101,.762,49,86,135,166,116,13,78,169,795
8,Louis Orr,28,65,8,1440,166,389,.427,1,5,.200,165,384,.430,.428,125,172,.727,102,130,232,110,47,18,70,123,458
9,Pat Cummings,30,49,11,1056,172,382,.450,0,0,,172,382,.450,.450,79,110,.718,123,189,312,38,26,7,85,145,423
10,Chris McNealy,25,59,16,972,88,179,.492,0,0,,88,179,.492,.492,52,80,.650,74,153,227,46,36,16,64,136,228
11,Jawann Oldham,29,44,9,776,71,174,.408,0,1,.000,71,173,.410,.408,31,57,.544,51,128,179,19,22,71,48,95,173
12,Eddie Lee Wilkins,24,24,10,454,56,127,.441,0,1,.000,56,126,.444,.441,27,58,.466,45,62,107,6,9,2,28,67,139
13,Bob Thornton,24,33,4,282,29,67,.433,0,1,.000,29,66,.439,.433,13,20,.650,18,38,56,8,4,3,24,48,71
14,Bernard King,30,6,4,214,52,105,.495,0,0,,52,105,.495,.495,32,43,.744,13,19,32,19,2,0,15,14,136
15,Stewart Granger,25,15,0,166,20,54,.370,0,3,.000,20,51,.392,.370,9,11,.818,6,11,17,27,7,1,22,17,49
16,Brad Wright,24,14,0,138,20,46,.435,0,1,.000,20,45,.444,.435,12,28,.429,25,28,53,1,3,6,13,20,52
17,Bill Martin,24,8,0,68,9,25,.360,0,0,,9,25,.360,.360,7,8,.875,2,5,7,0,4,2,7,5,25
18,McKinley Singleton,25,2,0,10,2,3,.667,0,1,.000,2,2,1.000,.667,0,0,,0,0,0,1,0,0,0,1,4
,Team Totals,,82,,19780,3329,7023,.474,125,375,.333,3204,6648,.482,.483,1725,2362,.730,1108,2162,3270,1941,704,396,1420,2028,8508
