
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
49,Shandon Anderson,SG,6-6,208,December 31 1973,5,University of Georgia
23,Marcus Camby,C,6-11,220,March 22 1974,5,University of Massachusetts Amherst
4,Howard Eisley,PG,6-2,177,December 4 1972,7,Boston College
32,Othella Harrington,PF,6-9,235,January 31 1974,5,Georgetown University
20,Allan Houston,SG,6-6,200,April 20 1971,8,University of Tennessee
13,Mark Jackson,PG,6-1,180,April 1 1965,14,St. John's University
44,Travis Knight,C,7-0,235,September 13 1974,5,University of Connecticut
7,Lavor Postell,SG,6-5,215,February 26 1978,1,St. John's University
25,Larry Robinson,SG,6-3,180,January 11 1968,6,Centenary College of Louisiana
50,Felton Spencer,C,7-0,265,January 15 1968,11,University of Louisville
8,Latrell Sprewell,SF,6-5,190,September 8 1970,9,University of Alabama
40,Kurt Thomas,C,6-9,230,October 4 1972,6,Texas Christian University
21,Charlie Ward,PG,6-2,190,October 12 1970,7,Florida State University
35,Clarence Weatherspoon,PF,6-6,240,September 8 1970,9,University of Southern Mississippi
