
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Allan Houston,31,82,82,3108,7.6,17.0,.445,2.1,5.2,.396,5.5,11.8,.467,4.2,4.6,.919,0.3,2.4,2.7,2.5,0.6,0.1,2.1,2.2,21.4
2,Latrell Sprewell,32,74,73,2859,5.7,14.2,.403,1.7,4.5,.372,4.0,9.7,.417,2.2,2.7,.794,0.6,3.0,3.6,4.2,1.3,0.3,2.2,1.7,15.3
3,Kurt Thomas,30,81,81,2577,6.9,14.4,.483,0.0,0.0,.667,6.9,14.3,.483,1.9,2.6,.750,2.2,6.7,8.9,2.3,1.1,1.4,1.9,4.8,15.8
4,Howard Eisley,30,82,76,2243,4.2,10.1,.417,2.1,5.4,.389,2.1,4.7,.450,1.4,1.7,.848,0.4,2.6,3.0,7.1,1.1,0.1,2.4,3.6,11.9
5,Clarence Weatherspoon,32,79,19,2024,3.3,7.4,.449,0.0,0.0,,3.3,7.4,.449,2.7,3.5,.768,3.8,6.8,10.7,1.2,1.2,0.6,1.1,3.1,9.3
6,Othella Harrington,29,74,64,1850,4.4,8.6,.508,0.0,0.0,,4.4,8.6,.508,2.4,2.9,.820,3.2,6.1,9.3,1.2,0.2,0.4,1.8,4.5,11.2
7,Shandon Anderson,29,82,9,1731,5.2,11.2,.462,1.1,2.9,.371,4.1,8.3,.494,2.9,4.0,.732,1.3,4.0,5.3,1.8,1.5,0.4,2.4,3.7,14.3
8,Charlie Ward,32,66,6,1465,4.1,10.2,.399,2.5,6.6,.378,1.6,3.6,.435,1.0,1.3,.774,0.6,3.7,4.3,7.5,1.9,0.3,2.3,3.6,11.6
9,Michael Doleac,25,75,0,1041,5.0,11.9,.426,0.0,0.0,,5.0,11.9,.426,1.2,1.6,.783,2.2,5.3,7.6,1.5,0.6,0.6,1.7,5.2,11.3
10,Lee Nailon,27,38,0,405,7.5,16.9,.442,0.0,0.1,.000,7.5,16.8,.444,3.7,4.5,.824,2.8,3.4,6.2,2.3,0.5,0.3,2.8,4.1,18.7
11,Travis Knight,28,32,0,287,3.1,8.2,.385,0.0,0.1,.000,3.1,8.0,.391,1.3,1.6,.769,2.3,5.5,7.8,1.8,1.0,1.1,1.3,5.5,7.5
12,Frank Williams,22,21,0,167,1.9,7.1,.273,1.3,3.4,.375,0.6,3.7,.176,0.9,1.3,.667,0.6,3.2,3.9,7.3,1.5,0.4,3.7,4.3,6.0
13,Lavor Postell,24,12,0,98,5.1,14.0,.368,0.7,2.6,.286,4.4,11.4,.387,4.8,5.5,.867,0.4,1.1,1.5,1.1,0.7,0.0,2.6,3.3,15.8
