
Rk,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Jamal Crawford,27,80,3190,16.0,.528,.355,.274,1.3,6.3,3.7,22.0,1.3,0.4,11.0,24.6,,4.6,0.4,5.0,.076,,2.5,-2.7,-0.2,1.5
2,David Lee,24,81,2356,18.0,.606,.003,.383,11.3,24.1,17.5,6.7,1.2,1.0,11.8,15.6,,5.6,1.8,7.4,.151,,0.6,0.2,0.8,1.7
3,Zach Randolph,26,69,2244,18.0,.513,.076,.273,9.1,27.6,18.0,11.8,1.4,0.6,13.6,27.4,,0.9,2.0,3.0,.063,,-1.0,-0.5,-1.5,0.3
4,Nate Robinson,23,72,1883,15.3,.526,.373,.251,3.0,10.7,6.7,19.7,1.7,0.0,10.6,23.1,,2.5,0.7,3.2,.082,,2.0,-2.1,0.0,0.9
5,Quentin Richardson,27,65,1841,8.5,.444,.386,.159,3.4,16.5,9.7,9.9,1.3,0.6,10.4,16.1,,-0.6,0.9,0.3,.008,,-2.4,-0.3,-2.7,-0.3
6,Fred Jones,28,70,1757,10.9,.546,.444,.292,1.9,9.4,5.5,14.7,1.4,0.8,13.8,14.4,,1.7,0.6,2.2,.061,,-0.3,-0.9,-1.2,0.4
7,Eddy Curry,25,59,1530,15.0,.578,.000,.551,8.0,12.6,10.2,3.8,0.5,1.5,15.7,23.5,,1.3,0.4,1.7,.053,,-1.9,-2.6,-4.5,-1.0
8,Jared Jeffries,26,73,1325,7.9,.433,.093,.344,9.8,11.1,10.4,7.5,1.4,1.3,17.1,12.7,,-0.5,0.6,0.1,.002,,-3.3,0.4,-2.8,-0.3
9,Renaldo Balkman,23,65,952,11.5,.492,.065,.511,9.6,16.4,12.9,6.5,2.4,2.4,14.0,12.5,,0.4,0.9,1.3,.065,,-2.4,1.8,-0.6,0.3
10,Stephon Marbury,30,24,805,13.8,.527,.279,.438,2.3,6.1,4.2,23.1,1.4,0.2,13.2,20.3,,1.0,0.1,1.1,.066,,0.8,-2.5,-1.7,0.1
11,Wilson Chandler,20,35,685,11.7,.480,.124,.223,6.1,15.3,10.6,8.1,1.1,1.8,9.2,19.2,,0.2,0.4,0.5,.038,,-2.6,-0.9,-3.5,-0.3
12,Mardy Collins,23,46,634,5.9,.378,.183,.217,3.3,10.4,6.7,21.4,2.0,1.0,22.6,17.5,,-1.4,0.3,-1.0,-0.079,,-5.7,-0.5,-6.2,-0.7
13,Malik Rose,33,49,494,7.3,.422,.039,.283,6.9,17.1,11.9,9.3,1.7,1.1,16.5,22.0,,-0.9,0.4,-0.5,-0.052,,-6.2,-1.0,-7.2,-0.6
14,Randolph Morris,22,18,181,4.3,.396,.000,.500,7.3,16.2,11.6,1.8,1.2,0.9,11.3,19.8,,-0.3,0.1,-0.2,-0.061,,-7.7,-3.1,-10.8,-0.4
15,Jerome James,32,2,5,45.3,1.064,.000,2.000,0.0,70.6,34.2,0.0,0.0,0.0,0.0,16.9,,0.1,0.0,0.1,.613,,1.9,-9.5,-7.6,0.0
