
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Kevin Durant,20,74,74,2885,8.2,17.3,.476,1.2,2.9,.422,7.0,14.5,.486,5.6,6.5,.863,1.0,5.1,6.0,2.6,1.2,0.7,2.8,1.7,23.3
2,Jeff Green,22,78,78,2873,6.0,13.4,.446,1.2,3.1,.389,4.8,10.3,.463,3.0,3.8,.788,1.5,5.0,6.5,1.9,1.0,0.4,2.2,2.5,16.2
3,Russell Westbrook,20,82,65,2668,5.9,14.8,.398,0.5,1.7,.271,5.4,13.0,.415,4.7,5.8,.815,2.4,3.0,5.4,5.9,1.5,0.2,3.7,2.6,16.9
4,Nick Collison,28,71,40,1831,4.8,8.4,.568,0.0,0.0,.000,4.8,8.4,.570,1.9,2.7,.721,3.6,6.1,9.6,1.3,1.0,1.0,1.4,4.7,11.5
5,Earl Watson,29,68,18,1776,3.5,9.2,.384,0.4,1.7,.235,3.1,7.5,.418,1.6,2.1,.755,0.7,3.0,3.7,7.9,1.0,0.2,3.2,2.8,9.1
6,Kyle Weaver,22,56,19,1166,3.5,7.6,.459,1.0,2.9,.344,2.5,4.7,.529,1.3,1.8,.707,1.0,3.1,4.0,3.1,1.5,0.8,2.1,2.5,9.2
7,Nenad Krstic,25,46,29,1141,6.0,12.8,.469,0.0,0.0,,6.0,12.8,.469,2.0,2.5,.797,2.7,5.3,8.0,0.9,0.7,1.5,1.4,3.6,14.0
8,Desmond Mason,31,39,19,1064,4.2,9.6,.435,0.0,0.1,.000,4.2,9.5,.440,1.6,2.9,.541,1.4,3.9,5.3,1.6,0.5,1.0,1.9,3.2,9.9
9,Chris Wilcox,26,37,6,719,6.5,13.4,.485,0.0,0.2,.000,6.5,13.3,.491,2.6,4.4,.598,3.3,6.5,9.8,1.7,0.9,0.6,2.8,4.5,15.6
10,Thabo Sefolosha,24,23,22,718,3.7,8.8,.417,0.5,1.9,.243,3.2,6.9,.464,2.0,2.4,.833,1.4,4.6,6.0,2.3,2.0,1.3,1.4,2.7,9.8
11,Joe Smith,33,36,3,691,5.2,11.4,.454,0.1,0.2,.500,5.1,11.1,.453,2.0,2.8,.704,2.8,5.7,8.5,1.3,0.5,1.4,0.8,3.8,12.4
12,Damien Wilkins,29,41,14,636,4.4,12.1,.362,1.5,4.1,.375,2.8,8.0,.355,2.1,2.6,.804,1.1,2.8,4.0,2.1,1.2,0.4,2.1,3.1,12.3
13,Robert Swift,23,26,10,343,3.9,7.5,.521,0.0,0.0,,3.9,7.5,.521,1.3,1.7,.750,2.2,7.1,9.3,0.9,0.5,1.8,0.8,5.2,9.0
14,Johan Petro,23,22,12,342,4.8,11.9,.407,0.0,0.1,.000,4.8,11.8,.411,1.1,1.6,.667,2.8,7.2,10.0,0.6,1.7,0.5,1.6,5.4,10.7
15,Malik Rose,34,20,0,310,3.9,10.5,.378,0.0,0.3,.000,3.9,10.1,.391,3.7,4.6,.800,1.5,6.0,7.5,3.0,1.0,0.2,2.2,5.6,11.6
16,Chucky Atkins,34,19,0,297,3.0,10.4,.291,1.2,4.8,.250,1.8,5.6,.326,1.3,1.5,.917,0.6,1.6,2.2,3.8,1.0,0.1,1.6,2.7,8.6
17,Shaun Livingston,23,8,1,190,5.3,9.9,.538,0.0,0.0,,5.3,9.9,.538,1.1,1.1,1.000,0.6,4.4,4.9,3.0,0.9,0.4,1.1,1.5,11.7
18,D.J. White,22,7,0,130,7.2,13.8,.520,0.0,0.0,,7.2,13.8,.520,2.8,3.6,.769,2.8,6.1,8.9,1.7,0.8,1.4,0.8,2.8,17.2
19,Mouhamed Sene,22,5,0,23,7.8,11.0,.714,0.0,0.0,,7.8,11.0,.714,11.0,14.1,.778,4.7,9.4,14.1,0.0,1.6,3.1,4.7,3.1,26.6
20,Steven Hill,23,1,0,2,18.0,18.0,1.000,0.0,0.0,,18.0,18.0,1.000,0.0,0.0,,36.0,18.0,54.0,0.0,0.0,0.0,0.0,0.0,36.0
