
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1,Kevin Durant,22,78,78,3038,12.1,26.2,.462,2.5,7.1,.350,9.6,19.2,.504,10.1,11.5,.880,1.0,8.1,9.1,3.6,1.5,1.3,3.7,2.7,36.8,,115,107
2,Russell Westbrook,22,82,82,2847,11.2,25.3,.442,0.6,1.9,.330,10.5,23.4,.451,9.7,11.5,.842,2.2,4.7,6.9,12.2,2.8,0.5,5.7,3.8,32.6,,110,107
3,Serge Ibaka,21,82,44,2216,7.8,14.4,.543,0.0,0.0,.000,7.8,14.4,.544,3.2,4.3,.750,5.0,9.5,14.5,0.5,0.7,4.6,1.7,6.2,18.9,,119,104
4,James Harden,21,82,5,2189,7.0,16.2,.436,2.7,7.7,.349,4.4,8.5,.514,6.8,8.1,.843,1.0,5.0,6.0,4.2,2.2,0.6,2.5,4.9,23.6,,119,108
5,Thabo Sefolosha,26,79,79,2049,4.0,8.4,.471,0.7,2.6,.275,3.3,5.8,.558,1.5,2.0,.747,1.6,7.1,8.7,2.8,2.5,1.0,1.4,4.3,10.1,,112,106
6,Jeff Green,24,49,49,1815,7.7,17.6,.437,1.6,5.2,.304,6.1,12.4,.493,4.2,5.2,.818,1.6,6.2,7.8,2.5,1.1,0.6,2.2,4.1,21.2,,108,109
7,Nick Collison,30,71,2,1524,4.7,8.2,.566,0.0,0.0,,4.7,8.2,.566,1.9,2.5,.753,4.0,6.7,10.7,2.3,1.4,1.1,1.9,7.1,11.2,,120,108
8,Eric Maynor,23,82,0,1200,5.8,14.4,.402,1.6,4.1,.385,4.2,10.2,.409,1.9,2.5,.729,1.1,4.1,5.2,10.3,1.5,0.3,3.3,4.1,15.0,,104,110
9,Nenad Krstic,27,47,47,1018,7.7,15.5,.498,0.0,0.0,,7.7,15.5,.498,2.7,3.4,.803,3.9,6.6,10.5,1.0,0.9,0.9,1.7,5.4,18.2,,111,109
10,Daequan Cook,23,43,0,598,6.8,15.7,.436,5.6,13.3,.422,1.2,2.3,.519,1.4,1.7,.800,0.7,5.5,6.2,1.7,1.2,0.1,1.5,4.4,20.7,,122,110
11,Kendrick Perkins,26,17,17,429,4.2,8.6,.493,0.0,0.0,,4.2,8.6,.493,2.1,3.9,.531,4.7,11.6,16.3,1.9,0.8,1.9,3.7,6.5,10.5,,94,105
12,Nazr Mohammed,33,24,7,429,9.1,15.8,.573,0.0,0.0,,9.1,15.8,.573,1.8,2.9,.625,5.6,8.4,14.0,0.7,1.9,1.2,2.3,7.6,19.9,,115,105
13,D.J. White,24,23,0,219,7.1,15.4,.462,0.0,0.0,,7.1,15.4,.462,1.2,2.4,.500,2.8,9.5,12.3,0.9,1.4,1.9,1.7,7.3,15.4,,97,105
14,Royal Ivey,29,25,0,155,5.3,12.7,.421,2.3,5.3,.438,3.0,7.3,.409,0.7,0.7,1.000,0.7,4.7,5.3,2.3,2.0,0.3,1.7,5.7,13.7,,104,109
15,Cole Aldrich,22,18,0,142,2.9,5.5,.533,0.0,0.0,,2.9,5.5,.533,0.7,1.5,.500,4.7,8.0,12.8,1.5,1.8,2.6,2.9,10.9,6.6,,98,104
16,Byron Mullens,21,13,0,85,5.5,17.1,.321,0.0,0.0,,5.5,17.1,.321,4.3,8.5,.500,3.7,11.0,14.6,0.0,1.2,1.8,4.9,6.7,15.2,,71,105
17,Nate Robinson,26,4,0,30,6.9,25.9,.267,3.5,13.8,.250,3.5,12.1,.286,5.2,6.9,.750,0.0,1.7,1.7,10.4,0.0,0.0,3.5,13.8,22.4,,90,115
18,Morris Peterson,33,4,0,23,4.5,11.3,.400,0.0,2.3,.000,4.5,9.0,.500,0.0,0.0,,0.0,6.8,6.8,2.3,0.0,0.0,0.0,11.3,9.0,,95,112
