
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Kevin Durant,25,81,81,38.5,10.5,20.8,.503,2.4,6.1,.391,8.1,14.8,.549,.560,8.7,9.9,.873,0.7,6.7,7.4,5.5,1.3,0.7,3.5,2.1,32.0
2,Serge Ibaka,24,81,81,32.9,6.5,12.1,.536,0.3,0.7,.383,6.2,11.3,.546,.548,1.9,2.5,.784,2.8,6.0,8.8,1.0,0.5,2.7,1.5,2.9,15.1
3,Russell Westbrook,25,46,46,30.7,7.5,17.2,.437,1.5,4.7,.318,6.0,12.5,.482,.480,5.3,6.4,.826,1.2,4.5,5.7,6.9,1.9,0.2,3.8,2.3,21.8
4,Reggie Jackson,23,80,36,28.5,5.0,11.5,.440,1.0,3.1,.339,4.0,8.4,.477,.485,2.0,2.2,.893,0.5,3.4,3.9,4.1,1.1,0.1,2.1,1.8,13.1
5,Caron Butler,33,22,0,27.2,3.5,8.5,.409,2.0,4.6,.441,1.4,3.8,.369,.530,0.7,0.9,.842,0.2,3.0,3.2,1.2,1.1,0.3,0.4,2.5,9.7
6,Thabo Sefolosha,29,61,61,26.0,2.3,5.6,.415,0.8,2.5,.316,1.5,3.1,.495,.485,0.9,1.1,.768,0.8,2.8,3.6,1.5,1.3,0.3,0.9,1.5,6.3
7,Jeremy Lamb,21,78,0,19.7,3.4,7.8,.432,1.1,3.2,.356,2.2,4.6,.483,.504,0.7,0.8,.797,0.3,2.1,2.4,1.5,0.7,0.3,0.8,1.8,8.5
8,Kendrick Perkins,29,62,62,19.5,1.4,3.1,.451,0.0,0.0,.000,1.4,3.1,.453,.451,0.6,1.1,.552,1.3,3.6,4.9,1.1,0.4,0.5,1.5,2.9,3.4
9,Derek Fisher,39,81,0,17.6,1.7,4.5,.391,1.1,2.8,.384,0.7,1.6,.402,.512,0.7,0.9,.775,0.1,1.4,1.5,1.4,0.9,0.0,0.6,1.9,5.2
10,Nick Collison,33,81,0,16.7,1.7,3.0,.556,0.0,0.2,.235,1.6,2.8,.580,.564,0.8,1.1,.710,1.4,2.2,3.6,1.3,0.4,0.3,0.9,2.3,4.2
11,Steven Adams,20,81,20,14.8,1.1,2.3,.503,0.0,0.0,,1.1,2.3,.503,.503,1.0,1.7,.581,1.8,2.3,4.1,0.5,0.5,0.7,0.9,2.5,3.3
12,Perry Jones,22,62,7,12.3,1.3,2.9,.459,0.4,1.0,.361,1.0,1.9,.508,.519,0.5,0.7,.667,0.5,1.4,1.8,0.4,0.2,0.3,0.3,1.0,3.5
13,Andre Roberson,22,40,16,10.0,0.8,1.7,.485,0.1,0.3,.154,0.8,1.4,.564,.500,0.2,0.3,.700,0.9,1.5,2.4,0.4,0.5,0.3,0.5,1.9,1.9
14,Hasheem Thabeet,26,23,0,8.3,0.6,1.0,.565,0.0,0.0,,0.6,1.0,.565,.565,0.0,0.2,.200,0.4,1.3,1.7,0.0,0.2,0.4,0.6,2.0,1.2
15,Ryan Gomes,31,5,0,6.8,0.6,1.6,.375,0.0,0.4,.000,0.6,1.2,.500,.375,0.0,0.0,,0.0,0.8,0.8,0.2,0.0,0.0,0.2,1.0,1.2
16,Reggie Williams,27,3,0,5.7,1.7,3.0,.556,0.3,1.0,.333,1.3,2.0,.667,.611,0.0,0.0,,0.0,0.0,0.0,0.3,0.3,0.0,0.7,0.3,3.7
17,Mustafa Shakur,29,3,0,3.7,0.0,1.0,.000,0.0,0.3,.000,0.0,0.7,.000,.000,0.3,0.7,.500,0.0,0.0,0.0,1.3,0.0,0.0,0.7,0.7,0.3
18,Royal Ivey,32,2,0,2.5,0.0,1.0,.000,0.0,0.5,.000,0.0,0.5,.000,.000,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.0
