
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
42,Mark Acres,C,6-11,220,November 15 1962,2,Oral Roberts University
25,Nick Anderson,SG,6-6,205,January 20 1968,R,University of Illinois at Urbana-Champaign
45,Michael Ansley,SF,6-7,225,February 8 1967,R,University of Alabama
33,Terry Catledge,PF,6-8,220,August 22 1963,4,University of South Alabama
40,Dave Corzine,C,6-11,250,April 25 1956,11,DePaul University
21,Sidney Green,C,6-9,220,January 4 1961,6,University of Nevada Las Vegas
50,Jawann Oldham,C,7-0,215,July 4 1957,8,Seattle University
35,Jerry Reynolds,SF,6-8,200,December 23 1962,4,Louisiana State University
4,Scott Skiles,PG,6-1,180,March 5 1964,3,Michigan State University
32,Otis Smith,SF,6-5,210,January 30 1964,3,Jacksonville University
24,Reggie Theus,SG,6-7,190,October 13 1957,11,University of Nevada Las Vegas
31,Jeff Turner,PF,6-9,230,April 9 1962,3,Vanderbilt University
11,Sam Vincent,PG,6-2,185,May 18 1963,4,Michigan State University
20,Morlon Wiley,PG,6-4,185,September 24 1966,1,California State University Long Beach
