
Rk,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Scott Skiles,28,78,3086,15.2,.581,.264,.364,2.0,8.2,5.3,34.8,1.4,0.0,20.5,18.1,,5.6,2.4,8.0,.125,,2.2,-1.2,1.0,2.3
2,Shaquille O'Neal,20,81,3071,22.9,.584,.002,.553,13.4,27.1,20.6,8.5,1.0,5.7,15.9,27.0,,4.5,6.0,10.4,.163,,0.9,2.8,3.7,4.4
3,Nick Anderson,25,79,2920,17.3,.524,.188,.304,5.0,13.0,9.2,14.7,2.2,1.2,9.9,24.5,,4.0,3.7,7.7,.126,,1.7,1.0,2.7,3.5
4,Tom Tolbert,27,72,1838,10.4,.552,.062,.370,8.7,16.2,12.7,7.1,0.9,0.7,19.0,15.3,,0.8,1.9,2.7,.071,,-1.7,0.6,-1.0,0.4
5,Anthony Bowie,29,77,1761,11.2,.510,.084,.148,2.5,9.6,6.2,14.9,1.5,0.5,12.2,16.9,,0.9,1.6,2.5,.069,,-1.6,-0.1,-1.6,0.2
6,Dennis Scott,24,54,1759,13.2,.527,.351,.153,2.6,9.0,6.0,12.2,1.6,0.6,11.3,22.5,,1.2,1.6,2.8,.076,,0.9,-0.8,0.1,0.9
7,Donald Royal,26,77,1636,14.5,.627,.008,.997,8.5,11.7,10.2,7.0,1.1,0.9,16.7,17.8,,3.5,1.5,5.1,.149,,0.2,-0.2,0.0,0.8
8,Jeff Turner,30,75,1479,11.4,.564,.039,.160,6.0,12.8,9.6,10.9,0.6,0.4,12.4,15.5,,1.8,1.2,3.1,.100,,-0.7,-0.3,-1.1,0.4
9,Greg Kite,31,64,640,5.3,.471,.012,.286,12.4,21.1,17.0,2.1,1.0,1.1,27.0,8.7,,-0.2,0.9,0.6,.047,,-4.6,0.5,-4.1,-0.3
10,Litterial Green,22,52,626,11.6,.489,.051,.485,2.1,3.9,3.1,27.2,1.8,0.4,14.9,19.4,,0.4,0.5,0.8,.064,,-2.2,-2.6,-4.8,-0.4
11,Steve Kerr,27,47,440,8.6,.501,.214,.196,1.4,8.0,4.9,18.9,0.9,0.1,17.0,14.4,,0.1,0.3,0.4,.047,,-3.0,-1.8,-4.7,-0.3
12,Terry Catledge,29,21,262,8.5,.563,.000,.466,8.3,11.4,9.9,2.8,0.8,0.2,22.1,18.6,,-0.1,0.2,0.1,.027,,-4.2,-2.0,-6.2,-0.3
13,Bison Dele,23,21,240,12.9,.553,.013,.256,12.0,14.2,13.2,3.2,2.9,4.3,22.4,20.1,,-0.1,0.4,0.3,.069,,-3.3,2.0,-1.3,0.0
14,Chris Corchiani,24,9,102,14.6,.651,.130,.913,1.2,6.3,3.9,22.7,2.9,0.0,19.9,17.0,,0.2,0.1,0.3,.158,,0.2,-1.1,-1.0,0.0
15,Lorenzo Williams,23,3,10,3.2,.000,.000,.000,12.0,10.7,11.3,0.0,5.0,6.1,0.0,8.6,,0.0,0.0,0.0,-0.031,,-8.7,4.8,-3.9,0.0
16,Howard Wright,25,4,10,28.7,.680,.000,.400,12.0,10.7,11.3,0.0,0.0,0.0,0.0,25.3,,0.0,0.0,0.0,.182,,3.8,-8.9,-5.1,0.0
