
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Shaquille O'Neal,21,81,81,3224,10.6,17.8,.599,0.0,0.0,.000,10.6,17.7,.600,5.3,9.5,.554,4.3,7.7,12.0,2.2,0.8,2.6,2.5,3.1,26.5
2,Anfernee Hardaway,22,82,82,3015,6.1,13.0,.466,0.6,2.2,.267,5.5,10.8,.507,2.9,3.9,.742,2.3,2.9,5.2,6.5,2.3,0.6,3.5,2.4,15.7
3,Nick Anderson,26,81,81,2811,6.5,13.5,.478,1.3,4.0,.322,5.2,9.5,.545,2.2,3.2,.672,1.4,4.6,6.1,3.8,1.7,0.4,2.1,1.9,16.4
4,Scott Skiles,29,82,46,2303,4.3,10.1,.429,1.1,2.6,.412,3.3,7.5,.434,3.0,3.5,.878,0.7,2.3,3.0,7.9,0.7,0.0,3.0,2.7,12.7
5,Dennis Scott,25,82,37,2283,6.1,15.0,.405,2.4,6.1,.399,3.6,8.8,.408,1.9,2.5,.774,0.9,2.6,3.4,3.4,1.3,0.5,1.5,2.5,16.5
6,Jeff Turner,31,68,51,1536,4.7,10.0,.467,0.4,1.3,.327,4.2,8.7,.488,0.8,1.1,.778,1.9,4.5,6.4,1.4,0.5,0.3,1.8,5.6,10.6
7,Donald Royal,27,74,0,1357,4.6,9.2,.501,0.0,0.1,.000,4.6,9.2,.504,5.3,7.1,.740,2.5,4.1,6.6,1.6,1.3,0.4,2.0,3.2,14.5
8,Anthony Bowie,30,70,0,948,5.3,11.0,.481,0.0,0.7,.056,5.2,10.3,.509,1.6,1.9,.837,1.1,3.5,4.6,3.9,1.2,0.5,2.2,3.1,12.2
9,Larry Krystkowiak,29,34,11,682,3.7,7.8,.480,0.0,0.1,.000,3.7,7.8,.483,1.6,2.1,.795,2.0,4.5,6.5,1.8,0.7,0.2,1.5,3.9,9.1
10,Anthony Avent,24,41,20,676,3.1,9.1,.341,0.0,0.0,,3.1,9.1,.341,1.5,2.3,.636,4.5,5.3,9.8,1.7,0.9,0.6,2.2,4.6,7.7
11,Tree Rollins,38,45,1,384,2.7,5.0,.547,0.0,0.0,,2.7,5.0,.547,1.7,2.8,.600,3.1,5.9,9.0,0.8,0.7,3.3,1.2,5.2,7.1
12,Greg Kite,32,29,0,309,1.5,4.1,.371,0.0,0.0,,1.5,4.1,.371,0.9,2.6,.364,2.6,5.6,8.2,0.5,0.2,1.4,2.0,7.1,4.0
13,Litterial Green,23,29,0,126,6.3,16.3,.386,0.3,1.1,.250,6.0,15.1,.396,8.0,10.6,.757,1.7,1.7,3.4,2.6,1.7,0.3,3.7,4.6,20.9
14,Keith Tower,23,11,0,32,4.5,10.1,.444,0.0,0.0,,4.5,10.1,.444,0.0,0.0,,0.0,6.8,6.8,1.1,0.0,0.0,0.0,6.8,9.0
15,Todd Lichti,27,4,0,20,7.2,16.2,.444,0.0,0.0,,7.2,16.2,.444,0.0,0.0,,5.4,1.8,7.2,3.6,3.6,0.0,3.6,5.4,14.4
16,Lorenzo Williams,24,3,0,19,1.9,11.4,.167,0.0,1.9,.000,1.9,9.5,.200,0.0,0.0,,5.7,1.9,7.6,3.8,3.8,5.7,0.0,5.7,3.8
17,Geert Hammink,24,1,0,3,12.0,36.0,.333,0.0,0.0,,12.0,36.0,.333,0.0,0.0,,12.0,0.0,12.0,12.0,0.0,0.0,0.0,12.0,24.0
18,Anthony Cook,26,2,0,2,0.0,18.0,.000,0.0,0.0,,0.0,18.0,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,36.0,18.0,0.0,0.0
