
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Anfernee Hardaway,27,50,50,1944,301,717,.420,40,140,.286,261,577,.452,.448,149,211,.706,74,210,284,266,111,23,150,111,791
2,Horace Grant,33,50,50,1660,198,456,.434,0,2,.000,198,454,.436,.434,47,70,.671,117,234,351,90,46,60,44,99,443
3,Nick Anderson,31,47,39,1581,253,640,.395,96,277,.347,157,363,.433,.470,99,162,.611,51,226,277,91,64,15,83,72,701
4,Darrell Armstrong,30,50,15,1502,230,522,.441,69,189,.365,161,333,.483,.507,161,178,.904,53,127,180,335,108,4,158,90,690
5,Isaac Austin,29,49,49,1259,185,453,.408,2,7,.286,183,446,.410,.411,105,157,.669,83,154,237,89,47,35,114,125,477
6,Matt Harpring,22,50,22,1114,148,320,.463,10,25,.400,138,295,.468,.478,102,143,.713,88,126,214,45,30,6,73,112,408
7,Bo Outlaw,27,31,22,851,84,154,.545,0,3,.000,84,151,.556,.545,35,81,.432,54,113,167,56,40,43,58,79,203
8,Michael Doleac,21,49,0,780,125,267,.468,0,0,,125,267,.468,.468,54,80,.675,66,82,148,20,19,17,26,117,304
9,Derek Strong,30,44,0,695,76,180,.422,0,2,.000,76,178,.427,.422,71,99,.717,66,95,161,17,15,7,37,64,223
10,Dominique Wilkins,39,27,2,252,50,132,.379,5,19,.263,45,113,.398,.398,29,42,.690,30,41,71,16,4,1,23,19,134
11,B.J. Armstrong,31,22,0,180,19,45,.422,1,7,.143,18,38,.474,.433,9,11,.818,1,22,23,34,9,0,15,15,48
12,Danny Schayes,39,19,1,143,11,29,.379,0,0,,11,29,.379,.379,6,8,.750,3,11,14,4,1,2,8,23,28
13,Doug Overton,29,6,0,33,6,12,.500,0,2,.000,6,10,.600,.500,6,6,1.000,1,1,2,3,1,0,3,2,18
14,Gerald Wilkins,35,3,0,28,0,9,.000,0,0,,0,9,.000,.000,2,2,1.000,0,1,1,1,0,0,3,3,2
15,Miles Simon,23,5,0,19,1,5,.200,0,2,.000,1,3,.333,.200,0,0,,1,1,2,0,1,0,3,1,2
16,Jonathan Kerner,24,1,0,5,0,1,.000,0,0,,0,1,.000,.000,0,0,,0,0,0,0,0,0,0,2,0
17,Kevin Ollie,26,1,0,4,0,1,.000,0,0,,0,1,.000,.000,1,2,.500,0,1,1,0,0,0,0,1,1
,Team Totals,,50,,12050,1687,3943,.428,223,675,.330,1464,3268,.448,.456,876,1252,.700,688,1445,2133,1067,496,213,819,935,4473
