
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1,Darrell Armstrong,31,82,82,2590,9.2,21.3,.433,2.6,7.7,.340,6.6,13.6,.485,4.3,4.7,.911,1.2,3.9,5.1,9.5,3.2,0.2,4.7,2.6,25.3,,107,102
2,Bo Outlaw,28,82,55,2326,4.3,7.2,.602,0.0,0.1,.000,4.3,7.1,.607,1.7,3.4,.506,4.3,6.8,11.1,5.2,2.4,3.1,2.8,4.3,10.4,,112,99
3,Ben Wallace,25,81,81,1959,4.2,8.4,.503,0.0,0.0,,4.2,8.4,.503,1.4,2.9,.474,5.3,11.4,16.7,1.7,1.8,3.3,1.7,4.1,9.8,,109,96
4,John Amaechi,29,80,53,1684,9.0,20.5,.437,0.0,0.2,.167,8.9,20.3,.439,6.5,8.5,.766,1.8,6.0,7.8,2.8,1.0,1.1,4.1,4.7,24.5,,98,104
5,Chucky Atkins,25,82,0,1626,9.5,22.5,.424,1.7,4.9,.350,7.8,17.5,.445,2.9,4.0,.729,0.6,3.2,3.8,9.3,1.6,0.1,4.3,4.2,23.7,,100,106
6,Monty Williams,28,75,23,1501,8.6,17.7,.489,0.1,0.2,.400,8.6,17.5,.490,4.0,5.5,.741,3.2,5.1,8.2,3.5,1.5,0.6,3.6,6.1,21.4,,104,104
7,Pat Garrity,23,82,1,1479,8.6,19.5,.441,2.6,6.6,.401,6.0,12.9,.461,2.7,3.7,.721,1.5,5.5,7.0,1.9,1.0,0.6,2.8,6.6,22.5,,104,105
8,Corey Maggette,20,77,5,1370,8.1,16.9,.478,0.1,0.4,.182,8.0,16.5,.485,7.1,9.4,.751,4.4,6.5,10.9,2.2,0.9,0.9,5.0,6.1,23.3,,102,104
9,Michael Doleac,22,81,29,1335,8.9,19.8,.452,0.0,0.1,.500,8.9,19.7,.452,3.0,3.5,.842,3.3,9.1,12.3,2.3,1.1,1.3,2.4,8.3,20.9,,103,101
10,Tariq Abdul-Wahad,25,46,46,1205,9.1,21.1,.433,0.1,0.9,.095,9.0,20.2,.447,4.7,6.2,.762,3.2,6.6,9.8,2.9,2.2,0.7,3.6,4.7,23.0,,98,101
11,Chris Gatling,32,45,0,1041,9.9,21.9,.455,0.3,1.1,.304,9.6,20.8,.462,8.1,11.6,.698,4.3,9.8,14.1,1.9,2.3,0.5,5.0,6.7,28.3,,100,99
12,Ron Mercer,23,31,31,969,9.6,23.8,.402,0.0,0.5,.000,9.6,23.4,.410,4.8,6.1,.790,1.8,3.2,5.0,2.7,2.1,0.4,3.3,3.9,23.9,,93,104
13,Anthony Johnson,25,18,4,214,6.0,14.1,.426,0.2,1.2,.200,5.8,12.9,.446,2.1,3.5,.600,1.4,1.4,2.8,3.0,2.3,0.5,1.8,3.9,14.3,,97,105
14,Anthony Parker,24,16,0,185,6.4,15.2,.421,0.3,3.7,.071,6.1,11.5,.535,2.1,2.9,.727,1.3,5.9,7.2,2.7,2.1,1.1,2.9,3.5,15.2,,91,102
15,Derek Strong,31,20,0,148,7.0,16.0,.438,0.3,1.3,.250,6.7,14.7,.455,3.7,4.7,.786,3.7,11.0,14.7,1.3,1.7,0.7,4.0,5.0,18.0,,94,99
16,Matt Harpring,23,4,0,63,3.1,13.3,.235,1.6,1.6,1.000,1.6,11.7,.133,4.7,5.5,.857,3.9,5.5,9.4,6.3,3.9,0.8,0.8,5.5,12.5,,110,98
17,Johnny Taylor,25,5,0,29,8.5,20.4,.417,1.7,1.7,1.000,6.8,18.7,.364,0.0,0.0,,3.4,5.1,8.5,1.7,1.7,1.7,3.4,6.8,18.7,,90,102
18,Kiwane Garris,25,3,0,23,4.3,21.4,.200,0.0,2.1,.000,4.3,19.3,.222,0.0,0.0,,0.0,2.1,2.1,4.3,0.0,0.0,2.1,0.0,8.6,,52,110
19,Earl Boykins,23,1,0,8,18.5,24.7,.750,0.0,0.0,,18.5,24.7,.750,0.0,0.0,,6.2,0.0,6.2,18.5,0.0,0.0,0.0,0.0,37.0,,170,112
