
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
2,Cory Alexander,PG,6-1,185,June 22 1973,5,University of Virginia
13,John Amaechi,C,6-10,270,November 26 1970,2,Pennsylvania State University
10,Darrell Armstrong,PG,6-0,170,June 22 1968,6,Fayetteville State University
7,Dee Brown,PG,6-1,160,November 29 1968,10,Jacksonville University
55,Andrew DeClercq,C,6-10,230,February 1 1973,5,University of Florida
51,Michael Doleac,C,6-11,262,June 15 1977,2,University of Utah
8,Pat Garrity,SF,6-9,238,August 23 1976,2,University of Notre Dame
33,Grant Hill,SF,6-8,225,October 5 1972,6,Duke University
11,Troy Hudson,PG,6-1,170,March 13 1976,3,Southern Illinois University
1,Tracy McGrady,SG,6-8,210,May 24 1979,3,
50,Mike Miller,SF,6-8,218,February 19 1980,R,University of Florida
45,Bo Outlaw,PF,6-8,210,April 13 1971,7,University of Houston
2,Elliot Perry,PG,6-0,150,March 28 1969,8,University of Memphis
52,Don Reid,PF,6-8,250,December 30 1973,5,Georgetown University
26,James Robinson,PG,6-2,180,August 31 1970,6,University of Alabama
3,Monty Williams,SF,6-8,225,October 8 1971,6,University of Notre Dame
