
Rk,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Dwight Howard,22,82,3088,22.9,.619,.004,.921,10.9,31.6,21.7,6.1,1.2,4.2,16.1,24.2,,6.4,6.4,12.9,.200,,-0.2,2.5,2.2,3.3
2,Rashard Lewis,28,81,3076,16.7,.591,.487,.229,3.8,12.2,8.2,10.5,1.7,0.9,10.1,20.7,,6.1,3.7,9.8,.153,,3.4,0.6,4.0,4.6
3,Hedo Turkoglu,28,82,3026,17.8,.576,.340,.321,3.3,14.2,9.0,22.9,1.3,0.6,15.0,24.8,,5.6,3.5,9.0,.143,,2.9,0.5,3.3,4.1
4,Keith Bogans,27,82,2198,10.9,.559,.696,.187,2.3,11.3,7.0,7.1,1.4,0.3,7.7,14.4,,2.6,2.3,4.9,.106,,1.2,0.1,1.3,1.8
5,Jameer Nelson,25,69,1961,15.5,.564,.255,.250,1.7,12.1,7.1,31.1,1.7,0.1,17.4,19.0,,3.4,2.2,5.6,.136,,1.1,0.0,1.1,1.5
6,Maurice Evans,29,68,1624,14.0,.579,.391,.132,6.5,8.2,7.4,6.9,1.3,0.4,6.8,16.6,,3.1,1.5,4.6,.135,,2.0,-0.6,1.4,1.4
7,Keyon Dooling,27,72,1334,14.1,.572,.154,.456,0.6,7.8,4.4,16.0,1.4,0.3,10.7,19.6,,2.4,1.2,3.7,.132,,-0.5,-1.3,-1.8,0.1
8,Carlos Arroyo,28,62,1269,12.8,.547,.241,.293,0.9,9.0,5.1,26.6,1.1,0.1,16.4,17.0,,1.7,1.1,2.8,.107,,-0.8,-1.4,-2.2,-0.1
9,Adonal Foyle,32,82,774,9.9,.464,.000,.222,11.0,19.6,15.5,3.4,1.1,4.2,16.0,11.8,,0.0,1.3,1.3,.080,,-4.4,2.4,-2.0,0.0
10,Brian Cook,27,45,559,9.5,.508,.493,.080,5.2,14.8,10.2,6.9,1.0,1.6,13.7,21.0,,-0.2,0.7,0.5,.044,,-2.1,-1.0,-3.1,-0.2
11,Pat Garrity,31,31,284,3.2,.401,.463,.063,3.8,13.6,8.9,6.8,1.1,0.3,17.1,16.0,,-0.5,0.3,-0.2,-0.038,,-5.4,-0.6,-6.0,-0.3
12,J.J. Redick,23,34,276,12.7,.569,.398,.315,0.4,8.8,4.8,9.7,0.7,0.0,10.9,22.9,,0.3,0.2,0.5,.091,,-0.9,-3.4,-4.3,-0.2
13,James Augustine,23,25,149,10.8,.533,.000,.235,12.9,10.4,11.6,2.1,1.7,1.0,13.8,13.4,,0.1,0.2,0.3,.098,,-2.2,-0.3,-2.6,0.0
14,Trevor Ariza,22,11,115,12.7,.479,.097,.484,5.2,18.3,12.0,10.7,2.2,1.9,11.7,17.0,,0.0,0.2,0.2,.085,,-3.4,1.9,-1.5,0.0
15,Marcin Gortat,23,6,41,19.8,.491,.000,.176,23.5,21.6,22.5,8.4,1.3,1.8,9.8,22.7,,0.1,0.1,0.1,.158,,-0.3,-0.6,-0.8,0.0
16,Bo Outlaw,36,2,7,8.6,.667,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,25.0,26.2,,0.0,0.0,0.0,-0.071,,-6.3,-5.3,-11.6,0.0
