
Rk,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Julius Erving,26,82,2940,20.9,.553,,.375,6.9,16.2,11.8,15.9,2.4,1.9,,,,6.8,4.8,11.5,.188,,3.3,1.6,4.9,5.1
2,George McGinnis,26,79,2769,20.8,.503,,.379,12.4,20.1,16.5,16.8,2.6,0.7,,,,3.7,4.9,8.6,.149,,3.2,1.2,4.5,4.5
3,Henry Bibby,27,81,2639,11.5,.499,,.402,3.4,6.7,5.2,17.4,1.8,0.1,,,,1.8,2.3,4.1,.074,,-1.5,0.0,-1.5,0.3
4,World B. Free,23,78,2253,16.2,.517,,.454,4.6,5.9,5.3,17.4,1.5,0.6,,,,2.9,1.8,4.6,.099,,0.9,-1.9,-1.0,0.6
5,Doug Collins,25,58,2037,16.7,.569,,.304,3.3,6.1,4.8,19.6,1.5,0.4,,,,4.6,1.6,6.2,.145,,2.1,-1.2,0.9,1.5
6,Caldwell Jones,26,82,2023,12.3,.520,,.274,9.9,22.3,16.5,5.8,0.9,4.9,,,,0.7,3.7,4.4,.103,,-3.2,3.1,-0.1,1.0
7,Steve Mix,29,75,1958,15.1,.593,,.477,6.9,12.1,9.6,10.5,2.0,0.5,,,,4.1,2.4,6.5,.158,,0.6,0.6,1.3,1.6
8,Harvey Catchings,25,53,864,10.0,.546,,.382,7.8,18.7,13.5,4.3,1.2,4.5,,,,0.2,1.5,1.7,.092,,-4.3,3.0,-1.3,0.2
9,Darryl Dawkins,20,59,684,16.5,.621,,.367,9.1,23.7,16.8,5.1,0.8,3.6,,,,0.9,1.2,2.1,.150,,-1.1,-0.1,-1.1,0.2
10,Joe Bryant,22,61,612,14.1,.493,,.292,7.8,11.2,9.6,11.0,2.6,1.1,,,,0.3,0.8,1.2,.093,,-1.7,-0.2,-1.9,0.0
11,Mike Dunleavy,22,32,359,11.9,.467,,.310,2.9,6.3,4.7,21.7,1.6,0.3,,,,-0.1,0.3,0.2,.023,,-2.2,-2.7,-4.9,-0.3
12,Fred Carter,31,14,237,10.4,.439,,.188,4.5,5.6,5.1,12.5,2.1,0.4,,,,-0.1,0.2,0.1,.024,,-3.7,-1.6,-5.3,-0.2
13,Jim Barnett,32,16,231,7.4,.459,,.281,3.2,2.9,3.0,13.0,0.8,0.0,,,,0.0,0.1,0.1,.014,,-4.5,-2.7,-7.2,-0.3
14,Terry Furlow,22,32,174,13.4,.389,,.180,10.9,11.5,11.2,15.8,1.8,0.6,,,,-0.2,0.2,0.0,.011,,-3.5,-2.1,-5.6,-0.2
