
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
34,Charles Barkley,PF,6-6,252,February 20 1963,2,Auburn University
10,Maurice Cheeks,PG,6-1,180,September 8 1956,8,West Texas A&amp;M University
14,Steve Colter,PG,6-3,165,July 24 1962,2,New Mexico State University
6,Julius Erving,SF,6-7,210,February 22 1950,15,University of Massachusetts Amherst
12,World B. Free,SG,6-2,185,December 9 1953,11,Guilford College
21,Kenny Green,SF,6-6,210,October 11 1964,1,Wake Forest University
23,Roy Hinson,SF,6-9,210,May 2 1961,3,Rutgers University
11,Jim Lampley,C,6-10,230,July 2 1960,R,University of Arkansas at Little Rock
40,Tim McCormick,C,6-11,240,March 10 1962,2,University of Michigan
31,Mark McNamara,C,6-11,235,June 8 1959,3,University of California
4,Cliff Robinson,PF,6-9,220,March 13 1960,7,University of Southern California
43,Jeff Ruland,PF,6-10,240,December 16 1958,5,Iona College
3,Sedale Threatt,PG,6-2,175,September 10 1961,3,West Virginia University Institute of Technology
22,Andrew Toney,SG,6-3,178,November 23 1957,6,University of Louisiana at Lafayette
20,Danny Vranes,SF,6-7,210,October 29 1958,5,University of Utah
25,David Wingate,SG,6-5,185,December 15 1963,R,Georgetown University
