
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Charles Barkley,26,79,79,3085,8.2,13.7,.600,0.2,1.1,.217,8.0,12.7,.632,6.5,8.7,.749,4.2,6.4,10.6,3.6,1.7,0.6,2.8,2.9,23.2
2,Johnny Dawkins,26,81,81,2865,5.8,11.9,.489,0.3,0.8,.333,5.6,11.1,.501,2.6,3.1,.861,0.6,2.5,3.1,7.6,1.5,0.1,2.7,2.0,14.6
3,Hersey Hawkins,23,82,82,2856,6.6,14.3,.460,1.1,2.5,.420,5.5,11.8,.468,4.9,5.5,.888,1.1,2.8,3.8,3.3,1.6,0.4,2.3,2.7,19.1
4,Mike Gminski,30,81,81,2659,6.2,13.6,.457,0.0,0.2,.176,6.2,13.3,.462,2.6,3.2,.821,2.7,6.6,9.3,1.7,0.6,1.4,1.3,1.8,15.1
5,Rick Mahorn,31,75,66,2271,5.0,10.0,.497,0.0,0.1,.222,4.9,9.8,.501,2.9,4.1,.715,2.6,6.4,9.0,1.6,0.7,1.6,1.6,4.0,12.9
6,Ron Anderson,31,78,3,2089,6.5,14.5,.451,0.1,0.4,.143,6.5,14.1,.459,2.8,3.4,.838,1.4,3.7,5.1,2.5,1.2,0.2,1.3,2.5,16.0
7,Derek Smith,28,75,7,1405,6.7,13.2,.508,0.4,0.9,.444,6.3,12.2,.513,3.3,4.8,.699,1.6,2.8,4.4,2.8,0.9,0.5,2.2,5.1,17.1
8,Scott Brooks,24,72,1,975,4.4,10.2,.431,1.1,2.9,.392,3.2,7.3,.447,1.8,2.1,.877,0.6,1.8,2.4,7.6,1.7,0.0,1.4,3.9,11.8
9,Bob Thornton,27,56,0,592,2.9,6.8,.429,0.1,0.2,.333,2.9,6.6,.431,1.6,3.1,.510,2.7,5.4,8.1,1.0,1.2,0.7,2.1,6.4,7.5
10,Kurt Nimphius,31,38,1,314,4.4,10.4,.418,0.0,0.1,.000,4.4,10.3,.422,1.6,3.4,.467,2.5,4.5,7.0,0.7,0.5,2.1,1.4,5.2,10.3
11,Jay Vincent,30,17,5,259,6.3,14.6,.429,0.1,0.1,1.000,6.1,14.5,.423,4.6,5.1,.892,1.8,3.2,5.0,1.1,1.4,0.3,1.9,3.2,17.2
12,Kenny Payne,23,35,4,216,7.8,18.0,.435,0.7,1.7,.400,7.2,16.3,.439,2.7,3.0,.889,1.8,2.5,4.3,1.7,1.2,1.0,3.3,6.2,19.0
13,Lanard Copeland,24,23,0,110,10.1,22.3,.456,0.3,1.6,.200,9.8,20.6,.476,3.6,4.6,.786,1.3,2.0,3.3,2.9,0.3,0.3,6.2,3.9,24.2
14,Corey Gaines,24,9,0,81,1.8,5.3,.333,0.4,0.9,.500,1.3,4.4,.300,0.4,1.8,.250,0.4,1.8,2.2,11.6,1.8,0.0,4.4,4.9,4.4
15,Dexter Shouse,26,3,0,18,0.0,8.0,.000,0.0,2.0,.000,0.0,6.0,.000,0.0,0.0,,0.0,0.0,0.0,4.0,2.0,2.0,4.0,4.0,0.0
16,Lewis Lloyd,30,2,0,10,3.6,7.2,.500,0.0,0.0,,3.6,7.2,.500,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,14.4,10.8,7.2
