
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Hersey Hawkins,25,81,81,3013,521,1127,.462,91,229,.397,430,898,.479,.503,403,461,.874,53,218,271,248,157,43,189,174,1536
2,Charles Barkley,28,75,75,2881,622,1126,.552,32,137,.234,590,989,.597,.567,454,653,.695,271,559,830,308,136,44,235,196,1730
3,Johnny Dawkins,28,82,82,2815,394,902,.437,36,101,.356,358,801,.447,.457,164,186,.882,42,185,227,567,89,5,183,158,988
4,Armen Gilliam,27,81,81,2771,512,1001,.511,0,2,.000,512,999,.513,.511,343,425,.807,234,426,660,118,51,85,166,176,1367
5,Ron Anderson,33,82,11,2432,469,1008,.465,42,127,.331,427,881,.485,.486,143,163,.877,96,182,278,135,86,11,109,128,1123
6,Charles Shackleford,25,72,62,1399,205,422,.486,0,1,.000,205,421,.487,.486,63,95,.663,145,270,415,46,38,51,62,205,473
7,Manute Bol,29,71,2,1267,49,128,.383,0,9,.000,49,119,.412,.383,12,26,.462,54,168,222,22,11,205,41,139,110
8,Greg Grant,25,55,0,834,99,217,.456,7,18,.389,92,199,.462,.472,19,22,.864,13,52,65,199,37,2,41,73,224
9,Jayson Williams,23,50,8,646,75,206,.364,0,0,,75,206,.364,.364,56,88,.636,62,83,145,12,20,20,44,110,206
10,Mitchell Wiggins,32,49,0,569,88,229,.384,0,1,.000,88,228,.386,.384,35,51,.686,43,51,94,22,20,1,25,67,211
11,Kenny Payne,25,49,3,353,65,145,.448,5,12,.417,60,133,.451,.466,9,13,.692,13,41,54,17,16,8,19,34,144
12,Brian Oliver,23,34,0,279,33,100,.330,0,4,.000,33,96,.344,.330,15,22,.682,10,20,30,20,10,2,24,33,81
13,Tharon Mayes,23,21,0,215,28,94,.298,14,39,.359,14,55,.255,.372,20,30,.667,3,12,15,32,14,1,28,32,90
14,Jeff Ruland,33,13,5,209,20,38,.526,0,0,,20,38,.526,.526,11,16,.688,16,31,47,5,7,4,20,45,51
15,Dave Hoppen,27,11,0,40,2,7,.286,0,0,,2,7,.286,.286,5,10,.500,1,9,10,2,0,0,3,6,9
16,Michael Ansley,24,8,0,32,5,11,.455,0,0,,5,11,.455,.455,5,6,.833,2,2,4,2,0,0,3,6,15
,Team Totals,,82,,19755,3187,6761,.471,227,680,.334,2960,6081,.487,.488,1757,2267,.775,1058,2309,3367,1755,692,482,1238,1582,8358
