
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Allen Iverson,26,60,59,43.7,11.1,27.8,.398,1.3,4.5,.291,9.8,23.4,.419,.422,7.9,9.8,.812,0.7,3.8,4.5,5.5,2.8,0.2,4.0,1.7,31.4
2,Eric Snow,28,61,61,36.5,4.5,10.2,.442,0.0,0.4,.111,4.5,9.8,.457,.445,3.0,3.7,.806,0.5,3.0,3.5,6.6,1.6,0.1,2.3,2.7,12.1
3,Dikembe Mutombo,35,80,80,36.3,4.0,8.0,.501,0.0,0.0,,4.0,8.0,.501,.501,3.5,4.6,.764,3.2,7.6,10.8,1.0,0.4,2.4,2.0,3.0,11.5
4,Derrick Coleman,34,58,58,35.9,5.7,12.7,.450,0.5,1.4,.337,5.2,11.2,.465,.469,3.2,3.9,.815,2.9,5.9,8.8,1.7,0.7,0.9,2.1,2.7,15.1
5,Matt Harpring,25,81,81,31.4,4.8,10.3,.461,0.3,0.9,.304,4.5,9.5,.475,.473,2.0,2.7,.743,2.5,4.6,7.1,1.3,0.9,0.1,1.6,2.5,11.8
6,Aaron McKie,29,48,16,30.6,4.6,10.2,.449,1.1,2.7,.398,3.5,7.5,.467,.501,2.0,2.5,.787,0.5,3.5,4.0,3.7,1.2,0.3,1.9,1.5,12.2
7,Speedy Claxton,23,67,18,22.8,2.7,6.7,.400,0.1,0.5,.121,2.6,6.3,.422,.405,1.7,2.0,.838,0.7,1.7,2.4,3.0,1.4,0.1,1.4,2.2,7.2
8,Corie Blount,33,72,21,19.8,1.6,3.5,.458,0.0,0.0,.000,1.6,3.5,.460,.458,0.4,0.6,.644,2.1,3.0,5.1,0.6,0.7,0.4,0.7,2.4,3.6
9,Derrick McKey,35,41,1,19.1,1.3,3.0,.426,0.1,0.3,.417,1.1,2.7,.427,.447,0.2,0.3,.714,1.2,1.9,3.1,1.1,1.0,0.1,0.5,2.2,2.9
10,Raja Bell,25,74,12,12.0,1.4,3.2,.429,0.2,0.6,.273,1.2,2.6,.464,.454,0.5,0.6,.750,0.4,1.1,1.5,1.0,0.3,0.1,0.6,1.5,3.4
11,Michael Ruffin,25,15,0,11.3,0.5,1.7,.269,0.0,0.0,,0.5,1.7,.269,.269,0.1,0.5,.250,1.5,1.9,3.4,0.3,0.3,0.5,0.7,1.5,1.1
12,Jabari Smith,24,11,0,10.0,1.8,3.8,.476,0.0,0.2,.000,1.8,3.6,.500,.476,1.4,1.8,.750,0.5,0.7,1.3,0.5,0.4,0.2,0.3,1.7,5.0
13,Ira Bowman,28,3,0,9.7,1.7,2.3,.714,0.0,0.3,.000,1.7,2.0,.833,.714,0.0,0.0,,0.0,0.3,0.3,0.3,0.7,0.0,0.0,1.0,3.3
14,Matt Geiger,32,4,0,9.0,0.3,2.0,.125,0.0,0.0,,0.3,2.0,.125,.125,0.3,0.5,.500,0.8,0.8,1.5,0.0,0.0,0.5,0.5,0.5,0.8
15,Vonteego Cummings,25,58,1,8.6,1.3,3.2,.417,0.2,0.8,.261,1.1,2.4,.468,.449,0.4,0.6,.750,0.2,0.7,0.9,1.0,0.3,0.1,0.6,0.9,3.3
16,Alvin Jones,23,23,2,5.5,0.3,0.9,.400,0.0,0.0,,0.3,0.9,.400,.400,0.4,0.9,.500,0.6,1.0,1.6,0.1,0.1,0.4,0.5,1.5,1.1
17,Samuel Dalembert,20,34,0,5.2,0.6,1.5,.440,0.0,0.0,,0.6,1.5,.440,.440,0.2,0.5,.389,0.7,1.3,2.0,0.1,0.2,0.4,0.4,0.9,1.5
18,Tim James,25,9,0,4.6,0.6,1.4,.385,0.0,0.0,,0.6,1.4,.385,.385,0.2,0.7,.333,0.6,0.2,0.8,0.1,0.0,0.1,0.3,0.6,1.3
19,Damone Brown,22,17,0,3.9,0.5,1.2,.381,0.0,0.1,.000,0.5,1.2,.400,.381,0.4,0.5,.875,0.1,0.1,0.2,0.1,0.1,0.1,0.5,0.6,1.4
