
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1,Andre Iguodala,23,76,76,3062,7.7,17.1,.447,0.8,2.7,.310,6.8,14.4,.472,7.8,9.5,.820,1.3,6.2,7.5,7.5,2.6,0.6,4.5,3.5,24.0,,107,105
2,Samuel Dalembert,25,82,82,2535,7.4,13.7,.541,0.0,0.0,.000,7.4,13.7,.543,3.5,4.7,.746,5.0,10.3,15.3,1.3,1.0,3.3,3.4,6.0,18.4,,108,103
3,Kyle Korver,25,74,1,2288,8.6,19.5,.440,3.1,7.1,.430,5.6,12.4,.446,4.4,4.8,.914,0.7,5.3,6.0,2.4,1.3,0.5,2.7,4.3,24.7,,109,109
4,Andre Miller,30,57,56,2144,7.6,16.3,.464,0.0,0.5,.053,7.6,15.8,.477,3.9,4.9,.808,1.8,4.3,6.1,10.3,1.8,0.1,3.8,3.1,19.1,,106,109
5,Willie Green,25,74,36,1842,10.3,24.9,.411,1.5,4.5,.325,8.8,20.4,.430,2.1,3.2,.667,1.2,3.3,4.5,3.2,1.6,0.1,3.0,4.1,24.1,,91,110
6,Steven Hunter,25,70,41,1605,6.2,10.7,.577,0.0,0.0,,6.2,10.7,.577,2.4,5.0,.490,3.8,7.3,11.0,0.9,0.4,2.5,2.1,4.5,14.8,,108,107
7,Joe Smith,31,54,11,1355,7.5,16.8,.445,0.0,0.2,.000,7.5,16.6,.449,4.5,5.3,.846,4.2,9.9,14.1,1.8,1.2,0.8,2.5,4.9,19.4,,105,106
8,Rodney Carney,22,67,35,1169,8.2,17.7,.464,1.1,3.3,.347,7.1,14.5,.491,2.4,3.9,.609,1.8,4.0,5.8,1.2,1.7,1.0,1.9,5.3,20.0,,101,108
9,Kevin Ollie,34,53,23,919,4.7,10.8,.433,0.0,0.1,.000,4.7,10.7,.438,2.1,2.6,.822,0.5,3.8,4.3,7.5,1.2,0.1,2.7,4.4,11.5,,99,110
10,Lou Williams,20,61,0,688,7.2,16.2,.441,0.9,2.8,.324,6.2,13.4,.466,4.9,7.1,.696,1.3,4.1,5.4,8.5,1.7,0.1,3.5,3.2,20.2,,105,109
11,Allen Iverson,31,15,15,640,12.5,30.3,.413,1.0,4.4,.226,11.5,25.9,.444,12.7,14.4,.885,0.6,2.8,3.4,9.0,2.7,0.1,5.5,1.7,38.7,,105,108
12,Chris Webber,33,18,18,544,8.7,22.4,.387,0.2,0.5,.400,8.5,21.9,.387,1.8,2.7,.643,3.6,10.9,14.5,5.9,1.8,1.5,3.2,3.5,19.3,,90,103
13,Alan Henderson,34,38,5,418,5.4,8.5,.642,0.0,0.0,,5.4,8.5,.642,4.2,6.0,.702,6.1,7.5,13.5,1.3,1.1,1.5,1.5,7.8,15.1,,136,106
14,Bobby Jones,23,44,5,336,6.8,14.6,.462,0.2,1.4,.111,6.6,13.2,.500,3.6,6.5,.561,3.5,5.5,9.0,2.5,1.7,0.2,2.8,9.3,17.3,,99,108
15,Shavlik Randolph,23,13,6,179,6.8,14.2,.479,0.0,0.0,,6.8,14.2,.479,3.5,6.5,.545,5.6,10.3,16.0,1.2,2.1,3.0,2.7,6.8,17.1,,102,101
16,Lou Amundson,24,10,0,87,3.6,9.1,.400,0.0,0.0,,3.6,9.1,.400,2.4,6.1,.400,7.9,9.1,17.0,0.6,0.6,4.9,3.0,9.1,9.7,,91,103
17,Ivan McFarlin,24,11,0,41,6.5,16.8,.385,0.0,1.3,.000,6.5,15.5,.417,6.5,9.0,.714,9.0,5.2,14.2,1.3,0.0,0.0,1.3,10.3,19.4,,112,112
18,Steven Smith,23,8,0,28,3.8,15.1,.250,0.0,0.0,,3.8,15.1,.250,1.9,3.8,.500,1.9,9.5,11.3,0.0,1.9,0.0,3.8,7.6,9.5,,55,105
