
Rk,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Paul Westphal,25,82,2960,19.9,.551,,.331,2.7,6.7,4.8,23.3,3.2,0.7,,,,6.3,3.2,9.6,.155,,3.6,-0.2,3.4,4.0
2,Alvan Adams,21,80,2656,21.7,.507,,.265,8.9,20.7,14.9,27.2,2.1,2.4,,,,3.3,3.9,7.2,.130,,4.3,2.4,6.7,5.8
3,Curtis Perry,27,71,2353,15.8,.537,,.308,9.2,22.2,15.8,11.1,1.6,1.5,,,,2.8,3.2,6.0,.122,,0.1,1.3,1.4,2.0
4,Ricky Sobers,23,78,1898,13.1,.507,,.308,4.6,10.1,7.4,15.9,2.5,0.2,,,,0.9,1.9,2.8,.072,,-0.8,-0.1,-0.9,0.5
5,Dick Van Arsdale,32,58,1870,12.4,.555,,.412,2.3,5.6,4.0,10.5,1.3,0.3,,,,3.1,0.9,4.0,.102,,-1.2,-1.3,-2.5,-0.2
6,Keith Erickson,31,74,1850,14.1,.518,,.242,6.3,13.1,9.7,14.4,1.9,0.2,,,,2.0,1.8,3.8,.098,,-0.5,-0.2,-0.7,0.6
7,Dennis Awtrey,27,74,1376,11.2,.510,,.359,7.4,15.6,11.6,15.3,0.7,0.9,,,,0.7,1.1,1.8,.062,,-2.2,0.1,-2.1,0.0
8,Gar Heard,27,36,1220,14.1,.486,,.276,9.8,21.9,15.9,7.4,1.9,1.8,,,,0.6,1.7,2.3,.092,,-2.0,1.2,-0.8,0.4
9,Nate Hawthorne,26,79,1144,11.7,.481,,.402,8.3,11.6,9.9,5.7,1.3,0.7,,,,0.2,0.9,1.1,.046,,-3.2,-2.4,-5.6,-1.0
10,John Shumate,23,43,930,19.0,.582,,.541,7.2,20.7,14.0,10.1,2.1,0.9,,,,1.8,1.3,3.1,.158,,0.9,-0.2,0.7,0.6
11,Pat Riley,30,60,790,7.6,.434,,.257,2.1,4.4,3.2,10.0,1.2,0.3,,,,-0.6,0.4,-0.3,-0.017,,-5.5,-3.0,-8.5,-1.3
12,Phil Lumpkin,24,34,370,8.2,.448,,.462,2.1,4.6,3.4,16.2,1.8,0.0,,,,0.0,0.2,0.2,.022,,-5.1,-1.5,-6.6,-0.4
13,John Wetzel,31,37,249,10.1,.566,,.522,3.5,12.9,8.3,9.9,1.6,0.7,,,,0.2,0.2,0.4,.083,,-3.6,-0.2,-3.9,-0.1
14,Fred Saunders,24,17,146,12.7,.450,,.172,8.3,19.1,13.8,13.3,1.6,0.4,,,,-0.1,0.2,0.1,.026,,-3.0,-1.5,-4.5,-0.1
15,Mike Bantom,24,7,68,9.1,.372,,.192,11.3,25.3,18.4,5.9,1.3,1.6,,,,-0.1,0.1,0.0,-0.020,,-7.0,-1.6,-8.7,-0.1
