
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Kevin Johnson,22,81,81,3179,570,1128,.505,2,22,.091,568,1106,.514,.506,508,576,.882,46,294,340,991,135,24,322,226,1650
2,Tom Chambers,29,81,81,3002,774,1643,.471,28,86,.326,746,1557,.479,.480,509,598,.851,143,541,684,231,87,55,231,271,2085
3,Jeff Hornacek,25,78,73,2487,440,889,.495,27,81,.333,413,808,.511,.510,147,178,.826,75,191,266,465,129,8,111,188,1054
4,Armen Gilliam,24,74,60,2120,468,930,.503,0,0,,468,930,.503,.503,240,323,.743,165,376,541,52,54,27,140,176,1176
5,Eddie Johnson,29,70,7,2043,608,1224,.497,71,172,.413,537,1052,.510,.526,217,250,.868,91,215,306,162,47,7,122,198,1504
6,Mark West,28,82,32,2019,243,372,.653,0,0,,243,372,.653,.653,108,202,.535,167,384,551,39,35,187,103,273,594
7,Tyrone Corbin,26,77,30,1655,245,454,.540,0,2,.000,245,452,.542,.540,141,179,.788,176,222,398,118,82,13,92,222,631
8,Dan Majerle,23,54,5,1354,181,432,.419,27,82,.329,154,350,.440,.450,78,127,.614,62,147,209,130,63,14,48,139,467
9,Tim Perry,23,62,15,614,108,201,.537,1,4,.250,107,197,.543,.540,40,65,.615,61,71,132,18,19,32,37,47,257
10,Andrew Lang,22,62,25,526,60,117,.513,0,0,,60,117,.513,.513,39,60,.650,54,93,147,9,17,48,28,112,159
11,T.R. Dunn,33,34,1,321,12,35,.343,0,0,,12,35,.343,.343,9,12,.750,30,30,60,25,12,1,6,35,33
12,Ed Nealy,28,30,0,164,8,29,.276,0,2,.000,8,27,.296,.276,3,7,.429,18,37,55,8,4,0,6,22,19
13,Steve Kerr,23,26,0,157,20,46,.435,8,17,.471,12,29,.414,.522,6,9,.667,3,14,17,24,7,0,6,12,54
14,Craig Hodges,28,10,0,92,16,36,.444,4,12,.333,12,24,.500,.500,3,4,.750,2,3,5,8,2,0,5,8,39
15,Kenny Gattison,24,2,0,9,0,1,.000,0,0,,0,1,.000,.000,1,2,.500,0,1,1,0,0,0,0,2,1
16,Mark Davis,25,2,0,7,1,5,.200,0,1,.000,1,4,.250,.200,2,2,1.000,1,0,1,0,0,0,0,1,4
17,Winston Crite,23,2,0,6,0,3,.000,0,0,,0,3,.000,.000,0,0,,1,0,1,0,0,0,1,1,0
,Team Totals,,82,,19755,3754,7545,.498,168,481,.349,3586,7064,.508,.509,2051,2594,.791,1095,2619,3714,2280,693,416,1279,1933,9727
