
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
22,Danny Ainge,SG,6-4,175,March 17 1959,12,Brigham Young University
34,Charles Barkley,PF,6-6,252,February 20 1963,9,Auburn University
23,Cedric Ceballos,SF,6-6,190,August 2 1969,3,California State University Fullerton
10,Duane Cooper,PG,6-1,185,June 25 1969,1,University of Southern California
40,Joe Courtney,PF,6-8,235,October 17 1969,1,University of Southern Mississippi
45,A.C. Green,PF,6-9,220,October 4 1963,8,Oregon State University
4,Skeeter Henry,SG,6-7,190,December 8 1967,R,University of Oklahoma
3,Frank Johnson,PG,6-1,185,November 23 1958,9,Wake Forest University
7,Kevin Johnson,PG,6-1,180,March 4 1966,6,University of California
35,Joe Kleine,C,6-11,255,January 4 1962,8,University of Arkansas
32,Negele Knight,PG,6-1,175,March 6 1967,3,University of Dayton
27,Malcolm Mackey,C,6-9,248,July 11 1970,R,Georgia Institute of Technology
9,Dan Majerle,SG,6-6,215,September 9 1965,5,Central Michigan University
25,Oliver Miller,C,6-9,280,April 6 1970,1,University of Arkansas
0,Jerrod Mustaf,PF,6-10,238,October 28 1969,3,University of Maryland
2,Elliot Perry,PG,6-0,150,March 28 1969,1,University of Memphis
41,Mark West,C,6-10,230,November 5 1960,10,Old Dominion University
