
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
12,Toby Bailey,SG,6-6,213,November 19 1975,1,University of California Los Angeles
40,Corie Blount,PF,6-9,240,January 4 1969,6,University of Cincinnati
3,Rex Chapman,SG,6-4,185,October 5 1967,11,University of Kentucky
43,Ben Davis,PF,6-9,240,December 26 1972,3,University of Arizona
11,Todd Day,SG,6-6,188,January 7 1970,6,University of Arkansas
24,Tom Gugliotta,PF,6-10,240,December 19 1969,7,North Carolina State University
1,Anfernee Hardaway,SG,6-7,195,July 18 1971,6,University of Memphis
7,Kevin Johnson,PG,6-1,180,March 4 1966,11,University of California
32,Jason Kidd,PG,6-4,205,March 23 1973,5,University of California
2,Randy Livingston,PG,6-4,209,April 2 1975,3,Louisiana State University
13,Luc Longley,C,7-2,265,January 19 1969,8,University of New Mexico
25,Don MacLean,PF,6-10,235,January 16 1970,7,University of California Los Angeles
31,Shawn Marion,SF,6-7,220,May 7 1978,R,University of Nevada Las Vegas
8,Oliver Miller,C,6-9,280,April 6 1970,7,University of Arkansas
30,Clifford Robinson,SF,6-10,225,December 16 1966,10,University of Connecticut
54,Rodney Rogers,PF,6-7,235,June 20 1971,6,Wake Forest University
41,Mark West,C,6-10,230,November 5 1960,16,Old Dominion University
