
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1,Shawn Marion,24,81,81,3373,10.3,22.8,.452,2.2,5.7,.387,8.1,17.1,.473,3.9,4.6,.851,3.1,8.9,12.0,3.1,2.9,1.5,2.4,3.2,26.7,,111,98
2,Stephon Marbury,25,81,81,3240,10.9,24.8,.439,1.4,4.8,.301,9.4,20.0,.472,6.1,7.6,.803,0.9,3.4,4.3,10.6,1.7,0.3,4.3,3.2,29.2,,108,106
3,Amar'e Stoudemire,20,82,71,2570,8.0,16.9,.472,0.0,0.2,.200,8.0,16.7,.476,6.5,9.9,.661,5.1,9.6,14.7,1.6,1.3,1.8,3.9,5.5,22.6,,103,101
4,Joe Johnson,21,82,34,2255,7.3,18.5,.397,1.7,4.8,.366,5.6,13.7,.408,2.2,2.9,.774,1.3,4.8,6.1,4.9,1.4,0.4,2.5,3.3,18.7,,99,105
5,Bo Outlaw,31,80,20,1800,4.5,8.1,.550,0.0,0.1,.000,4.5,8.0,.554,2.1,3.4,.621,3.9,6.8,10.7,3.3,1.5,2.1,2.2,5.7,11.0,,113,102
6,Anfernee Hardaway,31,58,51,1777,7.6,16.9,.447,0.8,2.2,.356,6.8,14.8,.460,2.3,2.9,.794,1.9,5.7,7.6,6.9,1.9,0.8,4.3,4.4,18.1,,97,103
7,Casey Jacobsen,21,72,0,1147,5.6,14.9,.373,2.4,7.5,.315,3.2,7.4,.432,3.3,4.8,.686,1.3,2.5,3.8,3.3,1.6,0.3,2.5,4.1,16.8,,100,107
8,Jake Voskuhl,25,65,1,947,5.1,9.0,.564,0.0,0.0,,5.1,9.0,.564,3.5,5.3,.667,5.4,7.1,12.5,2.0,1.0,1.6,2.7,9.5,13.7,,115,103
9,Scott Williams,34,69,33,872,7.2,17.6,.411,0.0,0.1,.000,7.2,17.4,.414,2.0,2.5,.786,4.3,7.3,11.6,1.3,1.6,1.3,1.9,9.6,16.4,,96,102
10,Jake Tsakalidis,23,33,27,543,5.9,13.0,.452,0.0,0.0,,5.9,13.0,.452,3.8,5.6,.672,4.3,7.4,11.8,1.3,0.6,1.6,2.5,7.7,15.5,,102,104
11,Dan Langhi,25,60,0,541,7.9,19.6,.401,0.9,3.0,.290,7.0,16.6,.421,1.2,1.9,.600,1.8,6.6,8.4,2.0,1.5,0.6,1.6,5.6,17.7,,93,104
12,Tom Gugliotta,33,27,11,447,7.0,15.5,.455,0.0,0.1,.000,7.0,15.4,.458,1.1,1.1,1.000,2.9,8.8,11.7,3.6,1.6,0.6,3.6,4.1,15.1,,92,102
13,Randy Brown,34,32,0,262,3.2,8.6,.372,0.0,0.0,,3.2,8.6,.372,1.8,2.4,.750,0.6,4.6,5.2,7.0,3.4,0.4,3.4,7.2,8.2,,86,101
14,Alton Ford,21,11,0,31,5.1,15.2,.333,0.0,0.0,,5.1,15.2,.333,1.7,5.1,.333,0.0,10.1,10.1,1.7,0.0,0.0,3.4,11.8,11.8,,64,104
