
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Joe Johnson,23,82,82,3240,6.0,13.1,.461,2.0,4.1,.478,4.1,9.0,.454,1.5,2.0,.750,1.3,3.4,4.7,3.2,0.9,0.3,1.6,1.9,15.6
2,Shawn Marion,26,81,81,3146,7.0,14.8,.476,1.3,3.9,.334,5.7,10.8,.526,2.6,3.1,.833,2.7,7.8,10.5,1.8,1.9,1.4,1.4,2.3,18.0
3,Amar'e Stoudemire,22,80,80,2889,9.3,16.6,.559,0.0,0.2,.188,9.3,16.4,.564,7.3,9.9,.733,2.7,6.2,8.9,1.6,1.0,1.6,2.4,3.5,25.9
4,Quentin Richardson,24,79,78,2839,5.2,13.3,.389,2.9,8.0,.358,2.3,5.2,.437,1.7,2.3,.739,1.2,4.9,6.1,2.0,1.2,0.3,1.3,2.5,14.9
5,Steve Nash,30,75,75,2573,6.0,12.0,.502,1.3,3.1,.431,4.7,8.9,.526,3.0,3.3,.887,0.8,2.7,3.5,12.0,1.0,0.1,3.4,1.9,16.3
6,Leandro Barbosa,22,63,6,1087,5.6,11.7,.475,1.7,4.6,.367,3.9,7.1,.544,1.8,2.3,.797,1.1,3.2,4.3,4.2,1.0,0.2,2.9,4.2,14.6
7,Steven Hunter,23,76,3,1046,4.6,7.6,.614,0.0,0.0,.000,4.6,7.5,.616,2.7,5.6,.479,3.4,4.4,7.8,0.4,0.1,3.5,1.5,4.5,12.0
8,Jim Jackson,34,40,3,997,4.7,10.8,.435,2.5,5.3,.459,2.2,5.5,.411,0.9,0.9,.960,0.8,4.7,5.6,3.5,0.4,0.1,2.1,3.1,12.7
9,Casey Jacobsen,23,40,0,768,3.0,7.4,.414,1.6,4.2,.382,1.5,3.2,.456,2.3,2.9,.774,0.8,2.3,3.1,1.7,0.5,0.0,1.3,2.6,9.9
10,Jake Voskuhl,27,38,1,360,2.7,5.9,.458,0.0,0.0,,2.7,5.9,.458,2.6,3.8,.684,3.0,6.2,9.2,1.7,0.4,1.1,2.0,6.0,8.0
11,Walter McCarty,30,28,0,353,3.4,8.7,.388,2.5,6.6,.385,0.8,2.0,.400,0.7,1.4,.500,0.8,5.4,6.2,1.1,1.0,0.6,1.9,6.0,10.0
12,Bo Outlaw,33,39,0,214,2.0,5.7,.353,0.0,0.0,,2.0,5.7,.353,0.8,1.5,.556,2.7,6.2,8.9,2.2,1.0,2.0,1.3,4.9,4.9
13,Maciej Lampe,19,16,0,119,5.1,14.8,.347,0.6,0.9,.667,4.5,13.9,.326,2.4,3.6,.667,2.7,7.0,9.7,0.3,0.3,0.6,3.0,6.1,13.3
14,Jackson Vroman,23,10,1,57,3.8,10.1,.375,0.0,0.0,,3.8,10.1,.375,2.5,4.4,.571,3.2,5.1,8.2,4.4,1.9,1.3,4.4,6.9,10.1
15,Smush Parker,23,5,0,34,7.4,15.9,.467,1.1,4.2,.250,6.4,11.6,.545,0.0,0.0,,2.1,1.1,3.2,4.2,2.1,0.0,9.5,3.2,15.9
16,Paul Shirley,27,9,0,30,6.0,13.2,.455,0.0,0.0,,6.0,13.2,.455,2.4,4.8,.500,1.2,1.2,2.4,3.6,0.0,0.0,1.2,3.6,14.4
17,Yuta Tabuse,24,4,0,17,2.1,12.7,.167,2.1,2.1,1.000,0.0,10.6,.000,8.5,8.5,1.000,4.2,4.2,8.5,6.4,0.0,0.0,2.1,2.1,14.8
18,Zarko Cabarkapa,23,3,0,11,13.1,22.9,.571,0.0,0.0,,13.1,22.9,.571,3.3,3.3,1.000,6.5,3.3,9.8,0.0,0.0,0.0,0.0,0.0,29.5
