
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Marcin Gortat,27,66,66,32.0,6.5,11.7,.555,0.0,0.0,.000,6.5,11.6,.557,.555,2.5,3.8,.649,2.8,7.2,10.0,0.9,0.7,1.5,1.4,2.2,15.4
2,Steve Nash,37,62,62,31.6,4.8,9.0,.532,0.9,2.3,.390,3.9,6.7,.580,.581,2.0,2.3,.894,0.4,2.6,3.0,10.7,0.6,0.1,3.7,0.9,12.5
3,Jared Dudley,26,65,60,31.1,4.8,9.9,.485,1.2,3.2,.383,3.6,6.7,.535,.547,1.8,2.5,.726,1.5,3.2,4.6,1.7,0.8,0.3,1.1,1.6,12.7
4,Grant Hill,39,49,46,28.1,4.1,9.2,.446,0.3,1.1,.264,3.8,8.1,.470,.461,1.7,2.2,.761,0.6,2.9,3.5,2.2,0.8,0.6,1.3,1.8,10.2
5,Channing Frye,28,64,59,26.1,4.0,9.6,.416,1.4,4.1,.346,2.6,5.5,.469,.490,1.1,1.3,.890,1.1,4.8,5.9,1.4,0.7,1.1,1.0,2.8,10.5
6,Shannon Brown,26,59,19,23.7,4.3,10.1,.420,1.2,3.2,.362,3.1,6.9,.446,.477,1.4,1.7,.808,0.6,2.0,2.7,1.2,0.7,0.3,1.1,1.1,11.0
7,Markieff Morris,22,63,7,19.5,2.8,6.9,.399,0.7,2.0,.347,2.1,5.0,.420,.448,1.2,1.7,.717,1.1,3.3,4.4,1.0,0.7,0.7,1.1,2.8,7.4
8,Michael Redd,32,51,2,15.1,2.8,7.1,.400,0.8,2.6,.318,2.0,4.5,.447,.458,1.7,2.2,.793,0.3,1.2,1.5,0.6,0.3,0.0,0.7,0.6,8.2
9,Sebastian Telfair,26,60,1,14.9,2.4,5.7,.412,0.6,1.8,.314,1.8,4.0,.456,.461,0.9,1.1,.791,0.3,1.2,1.5,2.3,0.7,0.2,1.1,2.0,6.1
10,Josh Childress,28,34,0,14.4,1.4,2.9,.485,0.1,0.7,.167,1.3,2.2,.587,.505,0.0,0.1,.000,0.9,1.9,2.8,1.0,0.4,0.2,0.3,1.1,2.9
11,Hakim Warrick,29,35,0,14.4,2.1,5.1,.411,0.0,0.3,.100,2.1,4.9,.429,.414,2.2,2.8,.768,0.9,1.7,2.6,0.9,0.2,0.1,1.0,1.0,6.4
12,Ronnie Price,28,36,8,14.4,1.4,3.6,.377,0.4,1.2,.295,1.0,2.4,.419,.427,0.6,0.7,.800,0.5,1.1,1.6,1.9,0.9,0.1,1.3,2.0,3.6
13,Robin Lopez,23,64,0,14.0,1.9,4.2,.461,0.0,0.0,,1.9,4.2,.461,.461,1.6,2.2,.714,1.4,1.9,3.3,0.3,0.3,0.9,0.7,2.0,5.4
