
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
10,Corky Calhoun,SF,6-7,210,November 1 1950,5,University of Pennsylvania
16,Johnny Davis,SG,6-2,170,October 21 1955,1,University of Dayton
44,Jacky Dorsey,SF,6-7,230,December 18 1954,R,University of Georgia
23,T.R. Dunn,SG,6-4,192,February 1 1955,R,University of Alabama
30,Bob Gross,SF,6-6,200,August 3 1953,2,California State University Long Beach
14,Lionel Hollins,PG,6-3,185,October 19 1953,2,Arizona State University
20,Maurice Lucas,PF,6-9,215,February 18 1952,3,Marquette University
36,Lloyd Neal,PF,6-7,225,December 10 1950,5,Tennessee State University
24,Willie Norwood,SF,6-7,220,August 8 1947,6,Alcorn State University
25,Tom Owens,C,6-10,215,June 28 1949,6,University of South Carolina
54,Dale Schlueter,C,6-10,225,November 12 1945,9,Colorado State University
15,Larry Steele,SG,6-5,180,May 5 1949,6,University of Kentucky
13,Dave Twardzik,PG,6-1,175,September 20 1950,5,Old Dominion University
42,Wally Walker,SF,6-7,190,July 18 1954,1,University of Virginia
32,Bill Walton,C,6-11,210,November 5 1952,3,University of California Los Angeles
