
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Clyde Drexler,26,78,78,39.3,10.6,21.4,.496,0.3,1.3,.260,10.3,20.1,.511,.504,5.6,7.0,.799,3.7,4.2,7.9,5.8,2.7,0.7,3.2,3.4,27.2
2,Terry Porter,25,81,81,38.3,6.7,14.1,.471,1.0,2.7,.361,5.7,11.4,.497,.506,3.4,4.0,.840,1.0,3.5,4.5,9.5,1.8,0.1,3.1,2.3,17.7
3,Jerome Kersey,26,76,76,35.7,7.0,15.0,.469,0.1,0.3,.286,6.9,14.7,.472,.471,3.4,4.9,.694,3.2,5.0,8.3,3.2,1.8,1.1,2.2,3.6,17.5
4,Kevin Duckworth,24,79,79,33.7,7.0,14.7,.477,0.0,0.0,.000,7.0,14.7,.478,.477,4.1,5.4,.757,3.1,4.9,8.0,0.8,0.7,0.6,2.5,3.8,18.1
5,Kiki Vandeweghe,30,18,1,24.0,5.7,12.1,.475,0.9,2.1,.421,4.8,9.9,.486,.512,1.6,1.8,.879,0.6,1.3,1.9,1.9,0.4,0.2,1.0,2.2,13.9
6,Sam Bowie,27,20,0,20.6,3.5,7.7,.451,0.3,0.4,.714,3.2,7.3,.438,.467,1.4,2.5,.571,1.8,3.5,5.3,1.8,0.4,1.7,1.7,2.2,8.6
7,Steve Johnson,31,72,11,20.5,4.1,7.8,.524,0.0,0.0,,4.1,7.8,.524,.524,1.8,3.4,.527,1.9,3.1,5.0,1.5,0.3,0.6,1.9,3.5,10.0
8,Danny Young,26,48,2,19.8,2.4,5.2,.460,0.4,1.0,.340,2.0,4.2,.490,.494,1.0,1.3,.781,0.4,1.2,1.5,2.6,1.1,0.1,0.9,1.0,6.2
9,Caldwell Jones,38,72,40,17.8,1.1,2.5,.421,0.0,0.0,.000,1.1,2.5,.423,.421,0.7,0.8,.787,1.2,2.9,4.2,0.8,0.3,1.2,1.2,2.3,2.8
10,Jerry Sichting,32,25,1,15.6,1.8,4.2,.442,0.1,0.5,.250,1.7,3.7,.467,.457,0.3,0.3,.875,0.4,0.8,1.2,2.4,0.6,0.0,1.0,0.7,4.1
11,Richard Anderson,28,72,3,15.0,2.0,4.8,.417,0.7,2.0,.348,1.3,2.9,.464,.487,0.4,0.5,.842,0.9,2.3,3.2,1.4,0.6,0.2,0.8,1.4,5.2
12,Mark Bryant,23,56,32,14.3,2.1,4.4,.486,0.0,0.0,,2.1,4.4,.486,.486,0.7,1.2,.580,1.2,2.0,3.2,0.6,0.4,0.1,0.7,2.6,5.0
13,Adrian Branch,25,67,4,12.1,3.0,6.5,.463,0.1,0.5,.226,2.9,6.0,.481,.471,1.3,1.8,.725,0.9,1.0,2.0,0.9,0.7,0.0,1.0,1.5,7.4
14,Clinton Wheeler,29,20,0,10.6,1.1,2.3,.467,0.0,0.1,.000,1.1,2.2,.477,.467,0.4,0.5,.700,0.6,0.4,1.0,1.7,1.0,0.0,0.9,0.9,2.5
15,Brook Steppe,29,27,2,9.0,1.2,2.9,.423,0.2,0.3,.556,1.0,2.6,.406,.455,1.2,1.4,.865,0.5,0.7,1.2,0.6,0.4,0.0,0.5,1.2,3.8
16,Craig Neal,24,21,0,7.6,0.5,1.7,.314,0.1,0.4,.222,0.4,1.2,.346,.343,0.0,0.1,.500,0.1,0.4,0.5,1.5,0.4,0.0,0.7,1.1,1.2
17,Rolando Ferreira,24,12,0,2.8,0.1,1.5,.056,0.0,0.0,,0.1,1.5,.056,.056,0.6,0.7,.875,0.3,0.8,1.1,0.1,0.0,0.1,0.5,0.6,0.8
