
Rk,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Clifford Robinson,28,75,2725,18.3,.538,.290,.289,6.0,11.8,8.8,12.2,1.5,2.2,9.6,25.5,,5.4,3.3,8.7,.153,,2.9,0.2,3.1,3.5
2,Buck Williams,34,82,2422,13.6,.545,.003,.339,11.2,20.4,15.6,4.7,1.4,2.1,14.6,14.2,,2.5,3.6,6.1,.121,,-1.3,1.8,0.6,1.6
3,Rod Strickland,28,64,2267,21.6,.544,.130,.402,3.5,12.8,7.9,39.9,2.8,0.3,15.8,24.6,,5.3,3.2,8.5,.179,,4.1,1.0,5.0,4.0
4,Chris Dudley,29,82,2245,10.9,.424,.002,.410,15.6,23.2,19.2,2.1,1.0,4.2,13.3,11.4,,0.4,3.7,4.1,.087,,-3.4,2.2,-1.2,0.5
5,Harvey Grant,29,75,1771,13.2,.498,.042,.235,6.3,12.1,9.1,7.1,1.6,2.2,8.3,17.8,,1.7,2.2,4.0,.108,,-1.6,0.9,-0.7,0.6
6,James Robinson,24,71,1539,10.5,.484,.357,.176,2.9,6.9,4.8,18.0,1.6,0.6,15.9,21.9,,-0.3,1.5,1.2,.038,,-1.3,-1.4,-2.7,-0.3
7,Clyde Drexler,32,41,1428,22.7,.550,.337,.348,6.4,12.4,9.3,24.2,2.7,1.2,10.6,27.2,,4.4,2.1,6.5,.217,,6.2,1.1,7.3,3.4
8,Jerome Kersey,32,63,1143,14.5,.467,.055,.254,8.8,16.9,12.7,11.2,2.3,2.3,10.5,22.5,,0.6,1.9,2.5,.104,,-1.9,1.4,-0.5,0.4
9,Otis Thorpe,32,34,908,18.6,.598,.013,.489,10.6,19.2,14.7,9.6,1.1,1.2,12.8,20.4,,2.1,1.2,3.3,.174,,1.3,0.3,1.6,0.8
10,Aaron McKie,22,45,827,13.3,.500,.107,.280,4.6,13.5,8.8,15.9,2.2,1.4,11.7,17.0,,0.8,1.2,2.0,.115,,-1.2,1.3,0.1,0.4
11,Terry Porter,31,35,770,13.7,.515,.427,.307,2.5,9.7,5.9,25.4,2.0,0.2,16.1,19.8,,0.9,0.8,1.7,.106,,0.6,-1.0,-0.4,0.3
12,Mark Bryant,29,49,658,13.2,.555,.010,.328,9.0,19.1,13.8,6.4,1.5,1.8,15.1,16.6,,0.6,1.0,1.6,.116,,-2.2,0.7,-1.5,0.1
13,Steve Henson,26,37,380,12.1,.613,.605,.291,0.9,7.2,3.9,31.1,1.2,0.0,23.6,14.1,,0.7,0.3,1.0,.130,,-0.3,-3.6,-3.9,-0.2
14,Tracy Murray,23,29,313,12.4,.506,.268,.222,6.2,7.2,6.7,7.3,1.1,0.2,10.6,25.4,,0.3,0.3,0.5,.081,,-1.1,-3.5,-4.6,-0.2
15,James Edwards,39,28,266,5.4,.414,.000,.205,4.1,14.7,9.1,4.3,1.0,2.2,13.4,16.6,,-0.3,0.3,0.0,.002,,-6.9,-0.1,-7.1,-0.3
16,Negele Knight,27,3,43,15.0,.537,.000,.267,2.5,5.5,3.9,39.1,1.2,0.0,19.3,20.4,,0.1,0.0,0.1,.119,,-1.5,-4.2,-5.6,0.0
