
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Clifford Robinson,29,78,76,2980,553,1306,.423,178,471,.378,375,835,.449,.492,360,542,.664,123,320,443,190,86,68,194,248,1644
2,Rod Strickland,29,67,63,2526,471,1023,.460,38,111,.342,433,912,.475,.479,276,423,.652,89,208,297,640,97,16,255,135,1256
3,Harvey Grant,30,76,75,2394,314,679,.462,21,67,.313,293,612,.479,.478,60,110,.545,117,244,361,111,60,43,82,173,709
4,Aaron McKie,23,81,73,2259,337,722,.467,38,117,.325,299,605,.494,.493,152,199,.764,86,218,304,205,92,21,135,205,864
5,Chris Dudley,30,80,61,1924,162,358,.453,0,1,.000,162,357,.454,.453,80,157,.510,239,481,720,37,41,100,79,251,404
6,Arvydas Sabonis,31,73,21,1735,394,723,.545,39,104,.375,355,619,.574,.572,231,305,.757,147,441,588,130,64,78,154,211,1058
7,Buck Williams,35,70,10,1672,192,384,.500,2,3,.667,190,381,.499,.503,125,187,.668,159,245,404,42,40,47,90,187,511
8,James Robinson,25,76,5,1627,229,574,.399,102,284,.359,127,290,.438,.488,89,135,.659,44,113,157,150,34,16,111,146,649
9,Gary Trent,21,69,10,1219,220,429,.513,0,9,.000,220,420,.524,.513,78,141,.553,84,154,238,50,25,11,92,116,518
10,Rumeal Robinson,29,43,14,715,92,221,.416,30,79,.380,62,142,.437,.484,33,51,.647,19,59,78,142,26,5,72,79,247
11,Dontonio Wingfield,21,44,2,487,60,157,.382,19,63,.302,41,94,.436,.443,26,34,.765,45,59,104,28,20,6,31,73,165
12,Randolph Childress,23,28,0,250,25,79,.316,13,47,.277,12,32,.375,.399,22,27,.815,1,18,19,32,8,1,28,22,85
13,Anthony Cook,28,11,0,60,7,16,.438,0,2,.000,7,14,.500,.438,1,4,.250,5,7,12,2,0,1,1,8,15
14,Elmore Spencer,26,11,0,37,5,12,.417,0,0,,5,12,.417,.417,4,6,.667,2,7,9,1,0,2,3,4,14
15,Reggie Slater,25,4,0,20,3,5,.600,0,0,,3,5,.600,.600,0,0,,0,3,3,0,1,2,3,1,6
,Team Totals,,82,,19905,3064,6688,.458,480,1358,.353,2584,5330,.485,.494,1537,2321,.662,1160,2577,3737,1760,594,417,1377,1859,8145
