
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Damon Stoudamire,25,50,50,1673,5.4,13.5,.396,0.9,3.1,.310,4.4,10.5,.421,1.9,2.6,.730,0.9,2.7,3.6,6.7,1.1,0.1,2.4,1.7,13.6
2,Brian Grant,26,48,46,1525,4.3,9.0,.479,0.0,0.0,,4.3,9.0,.479,4.3,5.3,.814,4.1,7.0,11.1,1.6,0.5,0.8,2.3,3.2,13.0
3,Rasheed Wallace,24,49,18,1414,6.2,12.1,.508,0.3,0.8,.419,5.8,11.3,.515,3.3,4.6,.732,1.5,4.7,6.1,1.5,1.2,1.4,2.0,4.5,16.0
4,Isaiah Rider,27,47,41,1385,6.5,15.7,.412,1.1,2.9,.378,5.4,12.8,.419,2.9,3.8,.755,1.5,3.6,5.1,2.7,0.6,0.2,2.5,2.6,16.9
5,Arvydas Sabonis,34,50,48,1349,6.2,12.8,.485,0.2,0.6,.292,6.0,12.1,.496,3.6,4.7,.771,2.3,8.1,10.5,3.2,0.9,1.7,2.3,3.9,16.2
6,Jim Jackson,28,49,9,1175,4.7,11.3,.411,0.8,2.8,.278,3.9,8.6,.454,2.6,3.1,.842,1.1,3.8,4.9,3.9,1.3,0.2,2.5,2.5,12.7
7,Walt Williams,28,48,16,1044,5.1,12.0,.424,2.2,5.0,.438,2.9,7.0,.414,3.1,3.7,.832,1.2,3.7,4.9,2.8,1.3,1.0,2.2,3.5,15.4
8,Stacey Augmon,30,48,21,874,3.2,7.2,.448,0.0,0.1,.000,3.2,7.1,.453,2.1,3.1,.684,1.9,3.2,5.1,2.4,2.3,0.7,1.2,3.3,8.6
9,Greg Anthony,31,50,0,806,4.6,11.2,.414,2.2,5.6,.392,2.5,5.6,.437,2.8,4.0,.697,0.6,2.2,2.8,4.5,2.9,0.1,2.5,3.3,14.2
10,Kelvin Cato,24,43,0,545,3.8,8.5,.450,0.1,0.1,1.000,3.8,8.5,.445,2.2,4.4,.507,3.2,6.7,9.9,1.3,1.5,3.7,1.8,6.6,10.0
11,Jermaine O'Neal,20,36,1,311,4.2,9.6,.434,0.0,0.1,.000,4.2,9.5,.439,2.1,4.1,.514,4.9,6.4,11.2,1.5,0.5,1.6,1.6,4.7,10.4
12,Bonzi Wells,22,7,0,35,11.3,20.6,.550,1.0,3.1,.333,10.3,17.5,.588,8.2,18.5,.444,4.1,5.1,9.3,3.1,1.0,1.0,6.2,5.1,31.9
13,John Crotty,29,3,0,19,7.6,15.2,.500,1.9,1.9,1.000,5.7,13.3,.429,5.7,5.7,1.000,0.0,1.9,1.9,9.5,3.8,0.0,0.0,1.9,22.7
14,Carlos Rogers,27,2,0,8,9.0,9.0,1.000,0.0,0.0,,9.0,9.0,1.000,4.5,18.0,.250,0.0,4.5,4.5,4.5,0.0,0.0,0.0,9.0,22.5
15,Gary Grant,33,2,0,7,0.0,5.1,.000,0.0,0.0,,0.0,5.1,.000,0.0,0.0,,0.0,0.0,0.0,15.4,5.1,0.0,0.0,0.0,0.0
16,Brian Shaw,32,1,0,5,0.0,7.2,.000,0.0,0.0,,0.0,7.2,.000,0.0,0.0,,0.0,7.2,7.2,7.2,0.0,0.0,7.2,7.2,0.0
