
Rk,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,LaMarcus Aldridge,25,81,3211,21.5,.549,.016,.314,10.1,17.2,13.5,10.1,1.4,2.4,8.7,25.7,,7.6,3.5,11.1,.166,,1.9,0.5,2.4,3.5
2,Wesley Matthews,24,82,2758,15.5,.582,.386,.322,2.0,9.7,5.7,10.2,2.0,0.3,11.0,21.3,,5.0,2.3,7.2,.126,,2.1,-1.1,1.1,2.1
3,Andre Miller,34,81,2650,17.8,.529,.044,.346,4.3,9.9,7.0,35.7,2.3,0.4,16.8,20.6,,4.6,2.4,7.0,.127,,1.3,-0.2,1.1,2.1
4,Nicolas Batum,22,80,2522,14.8,.563,.424,.203,5.1,12.8,8.8,8.1,1.5,1.6,8.6,17.8,,4.4,2.3,6.6,.126,,1.7,0.0,1.7,2.4
5,Rudy Fernandez,25,78,1821,13.4,.522,.628,.254,2.4,9.5,5.8,16.9,2.6,0.6,12.1,18.7,,2.0,1.8,3.8,.100,,1.5,-0.6,0.9,1.3
6,Marcus Camby,36,59,1540,14.8,.426,.003,.238,13.8,35.2,24.1,11.7,1.4,5.0,16.0,11.7,,0.8,3.0,3.7,.116,,-2.9,5.2,2.3,1.7
7,Brandon Roy,26,47,1310,13.9,.491,.218,.264,2.5,9.1,5.6,16.8,1.5,0.8,8.6,22.8,,1.2,0.9,2.1,.077,,-0.5,-1.6,-2.1,0.0
8,Dante Cunningham,23,56,1108,9.5,.457,.014,.155,7.7,13.4,10.4,4.3,1.9,2.4,9.6,14.5,,0.1,1.2,1.3,.057,,-3.5,1.0,-2.5,-0.1
9,Gerald Wallace,28,23,821,18.9,.590,.297,.335,5.6,21.2,13.0,11.9,3.1,1.5,14.4,20.5,,1.3,1.3,2.6,.153,,1.8,2.2,4.0,1.2
10,Patrick Mills,22,64,783,13.0,.506,.405,.143,2.8,5.2,4.0,24.3,1.9,0.1,15.1,24.5,,0.2,0.5,0.7,.044,,-0.1,-3.5,-3.6,-0.3
11,Joel Przybilla,31,31,445,7.2,.623,.000,.676,7.4,26.7,16.6,4.2,0.6,2.6,33.3,6.9,,0.1,0.6,0.6,.066,,-4.8,1.7,-3.1,-0.1
12,Armon Johnson,21,38,277,9.3,.497,.119,.218,4.7,11.5,7.9,28.1,1.0,0.3,25.6,25.1,,-0.4,0.2,-0.3,-0.044,,-4.4,-2.4,-6.8,-0.3
13,Sean Marks,35,29,208,4.9,.473,.045,.182,9.0,14.8,11.8,2.9,0.8,2.0,18.8,13.1,,-0.1,0.2,0.1,.019,,-5.3,-0.7,-6.0,-0.2
14,Luke Babbitt,21,24,137,1.0,.305,.291,.164,5.1,22.4,13.4,6.9,0.8,1.2,11.9,22.8,,-0.6,0.1,-0.4,-0.143,,-9.6,-2.5,-12.0,-0.3
15,Chris Johnson,25,10,106,10.3,.521,.000,1.000,12.2,19.3,15.6,2.8,1.5,4.7,23.6,15.0,,0.0,0.2,0.2,.069,,-5.1,1.3,-3.8,0.0
16,Fabricio Oberto,35,5,45,0.8,.595,.000,.400,7.8,11.4,9.5,0.0,0.0,0.0,33.8,9.2,,0.0,0.0,0.0,-0.012,,-6.4,-3.6,-10.0,-0.1
17,Earl Barron,29,2,37,3.8,.295,.000,.182,12.7,34.6,23.1,12.2,0.0,0.0,20.2,18.8,,-0.1,0.0,-0.1,-0.093,,-9.2,-0.9,-10.1,-0.1
18,Jarron Collins,32,5,24,0.0,.167,.000,.000,34.2,0.0,17.8,5.9,0.0,0.0,25.0,15.6,,-0.1,0.0,-0.1,-0.124,,-4.7,-2.7,-7.4,0.0
