
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Rodney McCray,28,82,82,3238,537,1043,.515,11,42,.262,526,1001,.525,.520,273,348,.784,192,477,669,377,60,70,174,176,1358
2,Wayman Tisdale,25,79,79,2937,726,1383,.525,0,6,.000,726,1377,.527,.525,306,391,.783,185,410,595,108,54,54,153,251,1758
3,Danny Ainge,30,75,68,2727,506,1154,.438,108,289,.374,398,865,.460,.485,222,267,.831,69,257,326,453,113,18,185,238,1342
4,Vinny Del Negro,23,76,29,1858,297,643,.462,10,32,.313,287,611,.470,.470,135,155,.871,39,159,198,250,64,10,111,182,739
5,Kenny Smith,24,46,46,1747,280,607,.461,22,59,.373,258,548,.471,.479,106,131,.809,11,109,120,303,57,7,122,98,688
6,Harold Pressley,26,72,10,1603,240,566,.424,46,148,.311,194,418,.464,.465,110,141,.780,94,215,309,149,58,36,88,148,636
7,Greg Kite,28,71,47,1515,101,234,.432,1,1,1.000,100,233,.429,.434,27,54,.500,131,246,377,76,31,51,76,201,230
8,Antoine Carr,28,33,4,924,228,473,.482,0,3,.000,228,470,.485,.482,158,196,.806,65,108,173,66,15,34,71,119,614
9,Pervis Ellison,22,34,22,866,111,251,.442,0,2,.000,111,249,.446,.442,49,78,.628,64,132,196,65,16,57,62,132,271
10,Randy Allen,25,63,6,746,106,239,.444,0,7,.000,106,232,.457,.444,23,43,.535,49,89,138,23,16,19,28,102,235
11,Sedric Toney,27,32,9,682,57,178,.320,16,50,.320,41,128,.320,.365,46,58,.793,11,35,46,122,23,0,52,71,176
12,Ralph Sampson,29,26,7,417,48,129,.372,1,4,.250,47,125,.376,.376,12,23,.522,11,73,84,28,14,22,34,66,109
13,Henry Turner,23,36,1,315,58,122,.475,0,3,.000,58,119,.487,.475,40,65,.615,22,28,50,22,17,7,26,40,156
14,Mike Williams,26,16,0,88,6,14,.429,0,1,.000,6,13,.462,.429,3,6,.500,5,17,22,2,3,7,3,28,15
15,Michael Jackson,25,17,0,58,3,11,.273,1,2,.500,2,9,.222,.318,3,6,.500,2,5,7,8,5,0,4,3,10
16,Greg Stokes,26,11,0,34,1,9,.111,0,0,,1,9,.111,.111,2,2,1.000,2,3,5,0,0,0,3,8,4
,Team Totals,,82,,19755,3305,7056,.468,216,649,.333,3089,6407,.482,.484,1515,1964,.771,952,2363,3315,2052,546,392,1239,1863,8341
