
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
45,Randy Breuer,C,7-3,230,October 11 1960,10,University of Minnesota
3,Randy Brown,PG,6-2,190,May 22 1968,2,New Mexico State University
53,Evers Burns,PF,6-8,260,August 24 1971,R,University of Maryland
31,Duane Causwell,C,7-0,240,May 31 1968,3,Temple University
32,Pete Chilcutt,PF,6-10,230,September 14 1968,2,University of North Carolina
7,Bobby Hurley,PG,6-0,165,June 28 1971,R,Duke University
33,Jim Les,PG,5-11,165,August 18 1963,5,Bradley University
54,Mike Peplowski,C,6-10,270,October 15 1970,R,Michigan State University
0,Olden Polynice,C,6-11,220,November 21 1964,6,University of Virginia
2,Mitch Richmond,SG,6-5,215,June 30 1965,5,Kansas State University
22,Lionel Simmons,SF,6-7,210,November 14 1968,3,La Salle University
34,LaBradford Smith,SG,6-3,200,April 3 1969,2,University of Louisville
20,Andre Spencer,SF,6-6,210,July 20 1964,1,Northern Arizona University
23,Wayman Tisdale,PF,6-9,240,June 9 1964,8,University of Oklahoma
4,Spud Webb,PG,5-6,133,July 13 1963,8,North Carolina State University
42,Walt Williams,SF,6-8,219,April 16 1970,1,University of Maryland
21,Trevor Wilson,PF,6-7,210,March 16 1968,1,University of California Los Angeles
