
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
30,Alaa Abdelnaby,PF,6-10,240,June 24 1968,4,Duke University
3,Randy Brown,PG,6-2,190,May 22 1968,3,New Mexico State University
31,Duane Causwell,C,7-0,240,May 31 1968,4,Temple University
33,Brian Grant,PF,6-9,254,March 5 1972,R,Xavier University
7,Bobby Hurley,PG,6-0,165,June 28 1971,1,Duke University
20,Doug Lee,SG,6-5,200,October 24 1964,2,Purdue University
5,Derrick Phelps,PG,6-4,181,July 31 1972,R,University of North Carolina
0,Olden Polynice,C,6-11,220,November 21 1964,7,University of Virginia
2,Mitch Richmond,SG,6-5,215,June 30 1965,6,Kansas State University
22,Lionel Simmons,SF,6-7,210,November 14 1968,4,La Salle University
34,Michael Smith,PF,6-8,230,March 28 1972,R,Providence College
9,Henry Turner,PF,6-7,200,August 18 1966,1,California State University Fullerton
4,Spud Webb,PG,5-6,133,July 13 1963,9,North Carolina State University
42,Walt Williams,SF,6-8,219,April 16 1970,2,University of Maryland
21,Trevor Wilson,PF,6-7,210,March 16 1968,2,University of California Los Angeles
