
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1,Kevin Martin,23,80,80,2818,9.1,19.2,.473,2.3,6.0,.381,6.8,13.2,.515,8.6,10.2,.844,1.2,4.9,6.1,3.1,1.8,0.2,2.4,3.3,29.1,,120,109
2,Mike Bibby,28,82,82,2784,8.6,21.2,.404,3.1,8.7,.360,5.4,12.5,.435,5.2,6.3,.830,0.7,4.1,4.8,7.1,1.6,0.1,3.6,2.5,25.5,,105,110
3,Metta World Peace,27,70,65,2641,8.8,19.9,.440,1.8,5.0,.358,7.0,15.0,.468,5.9,8.0,.740,2.0,6.7,8.7,4.5,2.9,0.8,2.8,3.9,25.2,,108,105
4,John Salmons,27,79,19,2135,5.6,12.3,.456,0.9,2.7,.357,4.6,9.6,.484,3.8,4.8,.779,1.1,5.1,6.3,6.0,1.7,0.6,2.8,4.2,15.9,,108,109
5,Shareef Abdur-Rahim,30,80,45,2015,7.8,16.4,.474,0.1,0.5,.150,7.7,15.9,.484,4.3,5.9,.726,3.1,6.9,10.0,2.7,1.3,1.0,2.9,6.1,19.9,,103,108
6,Brad Miller,30,63,56,1783,6.4,14.0,.453,0.1,0.9,.152,6.2,13.1,.475,3.3,4.2,.772,2.2,9.1,11.4,6.4,1.1,1.1,3.1,4.4,16.1,,103,107
7,Kenny Thomas,29,62,53,1412,5.2,10.9,.482,0.0,0.0,.000,5.2,10.8,.483,1.4,2.7,.513,4.8,8.7,13.5,2.7,1.5,0.6,3.2,5.1,11.9,,97,107
8,Francisco Garcia,25,79,5,1410,5.9,13.6,.429,1.9,5.4,.356,4.0,8.3,.476,3.4,4.1,.833,1.9,5.5,7.4,3.1,1.6,1.5,2.5,6.8,17.0,,106,108
9,Corliss Williamson,33,68,1,1337,8.9,17.5,.510,0.0,0.1,.000,8.9,17.5,.512,5.6,7.8,.715,2.4,6.0,8.4,1.5,1.1,0.6,3.7,6.9,23.5,,102,110
10,Ronnie Price,23,58,1,563,6.0,15.5,.390,1.9,5.8,.323,4.1,9.6,.430,3.3,4.9,.673,1.3,5.0,6.4,4.3,2.5,0.4,3.0,5.8,17.3,,96,107
11,Quincy Douby,22,42,0,359,6.8,17.8,.381,1.7,7.1,.240,5.1,10.7,.474,1.6,2.1,.733,1.6,3.7,5.2,2.1,2.1,0.6,2.1,3.0,16.8,,90,109
12,Justin Williams,22,26,1,333,8.2,13.4,.614,0.0,0.2,.000,8.2,13.2,.621,3.5,9.6,.365,7.8,9.7,17.5,0.3,0.8,2.4,2.3,7.8,19.9,,113,106
13,Maurice Taylor,30,12,2,103,3.9,13.8,.286,0.0,0.0,,3.9,13.8,.286,3.9,6.4,.615,4.9,8.9,13.8,2.5,2.0,0.5,3.0,7.9,11.8,,82,106
14,Jason Hart,28,13,0,100,7.6,15.2,.500,1.5,3.0,.500,6.1,12.2,.500,5.1,5.6,.909,1.0,6.6,7.6,5.1,1.5,0.0,2.0,11.6,21.8,,122,109
15,Vitaly Potapenko,31,3,0,13,0.0,15.6,.000,0.0,0.0,,0.0,15.6,.000,0.0,0.0,,0.0,7.8,7.8,0.0,0.0,0.0,7.8,11.7,0.0,,0,111
