
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Tyreke Evans,22,63,61,2162,6.8,15.0,.453,0.3,1.6,.202,6.5,13.3,.484,3.3,4.3,.779,1.1,3.7,4.8,4.7,1.4,0.5,2.8,2.3,17.3
2,DeMarcus Cousins,21,64,62,1950,8.3,18.4,.448,0.0,0.3,.143,8.2,18.2,.453,4.8,6.9,.702,4.9,8.1,13.0,1.9,1.7,1.4,3.1,4.7,21.4
3,Marcus Thornton,24,51,51,1780,7.1,16.2,.438,2.2,6.3,.345,5.0,10.0,.497,2.9,3.3,.865,1.7,2.1,3.8,2.0,1.4,0.2,1.7,2.2,19.3
4,Jason Thompson,25,64,47,1657,5.1,9.6,.535,0.0,0.0,.000,5.1,9.6,.537,2.4,3.9,.602,3.6,6.0,9.6,1.7,0.9,1.0,1.5,3.2,12.7
5,Isaiah Thomas,22,65,37,1656,5.6,12.4,.448,1.8,4.8,.379,3.8,7.7,.491,3.3,4.0,.832,1.0,2.6,3.7,5.8,1.2,0.2,2.3,2.6,16.3
6,John Salmons,32,46,32,1250,4.1,9.9,.409,1.0,3.2,.295,3.1,6.7,.464,0.8,1.3,.644,0.6,3.3,3.9,2.7,1.1,0.2,1.3,2.2,9.9
7,Jimmer Fredette,22,61,7,1135,5.5,14.1,.386,2.5,6.9,.361,3.0,7.3,.409,1.3,1.5,.833,0.5,1.8,2.3,3.4,1.0,0.1,2.1,2.3,14.7
8,Chuck Hayes,28,54,9,1039,2.5,5.9,.429,0.0,0.1,.000,2.5,5.8,.435,0.9,1.4,.667,2.5,5.6,8.1,2.7,1.2,0.6,1.7,3.8,6.0
9,Francisco Garcia,30,49,3,798,3.9,10.3,.376,1.7,5.9,.290,2.2,4.4,.490,1.1,1.4,.800,0.5,4.0,4.5,1.4,1.6,1.7,1.0,3.3,10.6
10,Donte Greene,23,53,7,777,5.0,12.3,.406,1.2,4.9,.238,3.8,7.5,.516,2.0,2.5,.800,0.9,5.3,6.2,1.6,0.8,1.3,1.5,3.1,13.2
11,J.J. Hickson,23,35,9,644,3.6,9.7,.370,0.0,0.1,.000,3.6,9.6,.372,2.1,3.2,.638,3.7,6.1,9.9,1.2,1.0,1.0,2.2,2.5,9.2
12,Travis Outlaw,27,39,5,500,4.3,12.6,.343,1.2,4.3,.267,3.2,8.3,.383,2.2,3.3,.674,1.4,3.0,4.4,1.2,1.4,1.5,1.4,2.4,12.0
13,Terrence Williams,24,18,0,369,6.3,13.8,.461,0.8,2.6,.296,5.6,11.1,.500,2.0,3.3,.618,1.1,6.1,7.2,5.4,1.6,0.6,3.2,1.9,15.5
14,Hassan Whiteside,22,18,0,109,4.0,8.9,.444,0.0,0.0,,4.0,8.9,.444,1.7,4.0,.417,5.3,7.6,12.9,0.0,1.0,5.0,1.7,4.0,9.6
15,Tyler Honeycutt,21,15,0,88,3.3,9.8,.333,0.4,1.2,.333,2.9,8.6,.333,1.2,2.0,.600,1.2,4.5,5.7,2.9,1.6,1.2,0.8,1.2,8.2
