
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Mike Mitchell,29,82,82,2853,775,1558,.497,5,23,.217,770,1535,.502,.499,269,346,.777,145,272,417,151,61,27,144,219,1824
2,Artis Gilmore,35,81,81,2756,532,854,.623,0,2,.000,532,852,.624,.623,484,646,.749,231,615,846,131,40,173,241,306,1548
3,Johnny Moore,26,82,82,2689,416,910,.457,25,89,.281,391,821,.476,.471,189,248,.762,94,284,378,816,229,18,236,247,1046
4,Gene Banks,25,82,41,2091,289,493,.586,1,3,.333,288,490,.588,.587,199,257,.774,133,312,445,234,65,13,140,220,778
5,George Gervin,32,72,69,2091,600,1182,.508,0,10,.000,600,1172,.512,.508,324,384,.844,79,155,234,178,66,48,198,208,1524
6,Alvin Robertson,22,79,9,1685,299,600,.498,4,11,.364,295,589,.501,.502,124,169,.734,116,149,265,275,127,24,167,217,726
7,John Paxson,24,78,1,1259,196,385,.509,10,34,.294,186,351,.530,.522,84,100,.840,19,49,68,215,45,3,81,117,486
8,Marc Iavaroni,28,57,33,1178,150,323,.464,0,4,.000,150,319,.470,.464,81,122,.664,84,191,275,113,31,32,103,193,381
9,Ozell Jones,24,67,6,888,106,180,.589,0,1,.000,106,179,.592,.589,33,83,.398,65,173,238,56,30,57,61,139,245
10,Jeff Cook,28,54,2,848,92,174,.529,0,0,,92,174,.529,.529,30,37,.811,81,129,210,39,25,14,32,150,214
11,Billy Knight,32,52,1,611,125,285,.439,10,24,.417,115,261,.441,.456,51,57,.895,40,56,96,59,14,1,57,48,311
12,Edgar Jones,28,18,1,322,44,91,.484,0,1,.000,44,90,.489,.484,41,51,.804,16,46,62,18,9,18,28,52,129
13,Fred Roberts,24,22,0,305,44,98,.449,0,0,,44,98,.449,.449,29,38,.763,10,25,35,22,10,12,21,45,117
14,Ron Brewer,29,9,0,81,13,34,.382,0,0,,13,34,.382,.382,7,7,1.000,1,2,3,6,1,1,4,8,33
15,Mark McNamara,25,12,0,63,12,18,.667,0,0,,12,18,.667,.667,9,18,.500,7,10,17,0,2,1,6,5,33
16,David Thirdkill,24,2,2,52,5,11,.455,0,0,,5,11,.455,.455,5,6,.833,5,2,7,3,2,1,2,5,15
17,Linton Townes,25,1,0,8,0,6,.000,0,0,,0,6,.000,.000,2,2,1.000,1,0,1,0,0,0,0,1,2
,Team Totals,,82,,19780,3698,7202,.513,55,202,.272,3643,7000,.520,.517,1961,2571,.763,1127,2470,3597,2316,757,443,1542,2180,9412
