
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
40,Mike Brittain,C,7-0,235,June 21 1963,R,University of South Carolina
45,Jeff Cook,PF,6-10,215,October 21 1956,6,Idaho State University
23,Tyrone Corbin,SF,6-6,210,December 31 1962,R,DePaul University
53,Artis Gilmore,C,7-2,240,September 21 1949,14,Jacksonville University
10,Dave Greenwood,PF,6-9,222,May 27 1957,6,University of California Los Angeles
22,Rod Higgins,SF,6-7,200,January 31 1960,3,California State University Fresno
6,Alfredrick Hughes,SG,6-5,215,July 19 1962,R,Loyola University of Chicago
32,Marc Iavaroni,PF,6-8,210,September 15 1956,3,University of Virginia
33,Steve Johnson,C,6-10,235,November 3 1957,4,Oregon State University
3,Jeff Lamp,SF,6-6,195,March 9 1959,3,University of Virginia
1,Wes Matthews,PG,6-1,170,August 24 1959,5,University of Wisconsin
34,Mike Mitchell,SF,6-7,215,January 1 1956,7,Auburn University
00,Johnny Moore,PG,6-1,175,March 3 1958,5,University of Texas at Austin
21,Alvin Robertson,SG,6-3,185,July 22 1962,1,University of Arkansas
20,Jon Sundvold,PG,6-2,170,July 2 1961,2,University of Missouri
3,Ennis Whatley,PG,6-3,177,August 11 1962,2,University of Alabama
45,Jeff Wilkins,C,6-11,230,March 9 1955,5,Illinois State University
11,Ray Williams,PG,6-3,188,October 14 1954,8,University of Minnesota
